cluster	ORF	gene_name
transcription from RNA polymerase II promoter	YAL013W	DEP1
transcription from RNA polymerase II promoter	YAL019W	FUN30
transcription from RNA polymerase II promoter	YAL021C	CCR4
transcription from RNA polymerase II promoter	YAL051W	OAF1
transcription from RNA polymerase II promoter	YBL008W	HIR1
transcription from RNA polymerase II promoter	YBL021C	HAP3
transcription from RNA polymerase II promoter	YBL103C	RTG3
transcription from RNA polymerase II promoter	YBR009C	HHF1
transcription from RNA polymerase II promoter	YBR034C	HMT1
transcription from RNA polymerase II promoter	YBR083W	TEC1
transcription from RNA polymerase II promoter	YBR095C	RXT2
transcription from RNA polymerase II promoter	YBR215W	HPC2
transcription from RNA polymerase II promoter	YBR245C	ISW1
transcription from RNA polymerase II promoter	YBR289W	SNF5
transcription from RNA polymerase II promoter	YCL010C	SGF29
transcription from RNA polymerase II promoter	YCR065W	HCM1
transcription from RNA polymerase II promoter	YDL020C	RPN4
transcription from RNA polymerase II promoter	YDL074C	BRE1
transcription from RNA polymerase II promoter	YDL080C	THI3
transcription from RNA polymerase II promoter	YDL170W	UGA3
transcription from RNA polymerase II promoter	YDR005C	MAF1
transcription from RNA polymerase II promoter	YDR009W	GAL3
transcription from RNA polymerase II promoter	YDR073W	SNF11
transcription from RNA polymerase II promoter	YDR096W	GIS1
transcription from RNA polymerase II promoter	YDR173C	ARG82
transcription from RNA polymerase II promoter	YDR174W	HMO1
transcription from RNA polymerase II promoter	YDR183W	PLP1
transcription from RNA polymerase II promoter	YDR207C	UME6
transcription from RNA polymerase II promoter	YDR217C	RAD9
transcription from RNA polymerase II promoter	YDR225W	HTA1
transcription from RNA polymerase II promoter	YDR310C	SUM1
transcription from RNA polymerase II promoter	YDR392W	SPT3
transcription from RNA polymerase II promoter	YDR421W	ARO80
transcription from RNA polymerase II promoter	YDR423C	CAD1
transcription from RNA polymerase II promoter	YDR443C	SSN2
transcription from RNA polymerase II promoter	YDR448W	ADA2
transcription from RNA polymerase II promoter	YDR451C	YHP1
transcription from RNA polymerase II promoter	YDR463W	STP1
transcription from RNA polymerase II promoter	YDR512C	EMI1
transcription from RNA polymerase II promoter	YEL037C	RAD23
transcription from RNA polymerase II promoter	YER051W	JHD1
transcription from RNA polymerase II promoter	YER068W	MOT2
transcription from RNA polymerase II promoter	YER088C	DOT6
transcription from RNA polymerase II promoter	YER111C	SWI4
transcription from RNA polymerase II promoter	YER139C	RTR1
transcription from RNA polymerase II promoter	YER161C	SPT2
transcription from RNA polymerase II promoter	YER162C	RAD4
transcription from RNA polymerase II promoter	YER164W	CHD1
transcription from RNA polymerase II promoter	YER177W	BMH1
transcription from RNA polymerase II promoter	YFL031W	HAC1
transcription from RNA polymerase II promoter	YFL049W	SWP82
transcription from RNA polymerase II promoter	YGL025C	PGD1
transcription from RNA polymerase II promoter	YGL035C	MIG1
transcription from RNA polymerase II promoter	YGL043W	DST1
transcription from RNA polymerase II promoter	YGL058W	RAD6
transcription from RNA polymerase II promoter	YGL066W	SGF73
transcription from RNA polymerase II promoter	YGL115W	SNF4
transcription from RNA polymerase II promoter	YGL127C	SOH1
transcription from RNA polymerase II promoter	YGL131C	SNT2
transcription from RNA polymerase II promoter	YGL133W	ITC1
transcription from RNA polymerase II promoter	YGL151W	NUT1
transcription from RNA polymerase II promoter	YGL173C	XRN1
transcription from RNA polymerase II promoter	YGL237C	HAP2
transcription from RNA polymerase II promoter	YGL244W	RTF1
transcription from RNA polymerase II promoter	YGL252C	RTG2
transcription from RNA polymerase II promoter	YGR056W	RSC1
transcription from RNA polymerase II promoter	YGR122W	YGR122W
transcription from RNA polymerase II promoter	YGR134W	CAF130
transcription from RNA polymerase II promoter	YGR200C	ELP2
transcription from RNA polymerase II promoter	YGR252W	GCN5
transcription from RNA polymerase II promoter	YGR270W	YTA7
transcription from RNA polymerase II promoter	YGR275W	RTT102
transcription from RNA polymerase II promoter	YHL009C	YAP3
transcription from RNA polymerase II promoter	YHL020C	OPI1
transcription from RNA polymerase II promoter	YHL025W	SNF6
transcription from RNA polymerase II promoter	YHL027W	RIM101
transcription from RNA polymerase II promoter	YHR006W	STP2
transcription from RNA polymerase II promoter	YHR041C	SRB2
transcription from RNA polymerase II promoter	YHR167W	THP2
transcription from RNA polymerase II promoter	YHR178W	STB5
transcription from RNA polymerase II promoter	YHR206W	SKN7
transcription from RNA polymerase II promoter	YIL036W	CST6
transcription from RNA polymerase II promoter	YIL038C	NOT3
transcription from RNA polymerase II promoter	YIL084C	SDS3
transcription from RNA polymerase II promoter	YIL119C	RPI1
transcription from RNA polymerase II promoter	YIL131C	FKH1
transcription from RNA polymerase II promoter	YIL153W	RRD1
transcription from RNA polymerase II promoter	YIR018W	YAP5
transcription from RNA polymerase II promoter	YIR023W	DAL81
transcription from RNA polymerase II promoter	YIR033W	MGA2
transcription from RNA polymerase II promoter	YJL103C	GSM1
transcription from RNA polymerase II promoter	YJL115W	ASF1
transcription from RNA polymerase II promoter	YJL140W	RPB4
transcription from RNA polymerase II promoter	YJL176C	SWI3
transcription from RNA polymerase II promoter	YJR060W	CBF1
transcription from RNA polymerase II promoter	YJR094C	IME1
transcription from RNA polymerase II promoter	YJR119C	JHD2
transcription from RNA polymerase II promoter	YJR140C	HIR3
transcription from RNA polymerase II promoter	YKL005C	BYE1
transcription from RNA polymerase II promoter	YKL020C	SPT23
transcription from RNA polymerase II promoter	YKL032C	IXR1
transcription from RNA polymerase II promoter	YKL109W	HAP4
transcription from RNA polymerase II promoter	YKL110C	KTI12
transcription from RNA polymerase II promoter	YKL139W	CTK1
transcription from RNA polymerase II promoter	YKL160W	ELF1
transcription from RNA polymerase II promoter	YKL185W	ASH1
transcription from RNA polymerase II promoter	YKR048C	NAP1
transcription from RNA polymerase II promoter	YKR082W	NUP133
transcription from RNA polymerase II promoter	YKR095W	MLP1
transcription from RNA polymerase II promoter	YKR099W	BAS1
transcription from RNA polymerase II promoter	YLL002W	RTT109
transcription from RNA polymerase II promoter	YLR055C	SPT8
transcription from RNA polymerase II promoter	YLR113W	HOG1
transcription from RNA polymerase II promoter	YLR131C	ACE2
transcription from RNA polymerase II promoter	YLR182W	SWI6
transcription from RNA polymerase II promoter	YLR418C	CDC73
transcription from RNA polymerase II promoter	YML007W	YAP1
transcription from RNA polymerase II promoter	YML051W	GAL80
transcription from RNA polymerase II promoter	YML062C	MFT1
transcription from RNA polymerase II promoter	YML094W	GIM5
transcription from RNA polymerase II promoter	YMR039C	SUB1
transcription from RNA polymerase II promoter	YMR042W	ARG80
transcription from RNA polymerase II promoter	YMR070W	MOT3
transcription from RNA polymerase II promoter	YMR075W	RCO1
transcription from RNA polymerase II promoter	YMR172W	HOT1
transcription from RNA polymerase II promoter	YMR179W	SPT21
transcription from RNA polymerase II promoter	YMR263W	SAP30
transcription from RNA polymerase II promoter	YMR280C	CAT8
transcription from RNA polymerase II promoter	YMR312W	ELP6
transcription from RNA polymerase II promoter	YNL021W	HDA1
transcription from RNA polymerase II promoter	YNL025C	SSN8
transcription from RNA polymerase II promoter	YNL027W	CRZ1
transcription from RNA polymerase II promoter	YNL068C	FKH2
transcription from RNA polymerase II promoter	YNL076W	MKS1
transcription from RNA polymerase II promoter	YNL097C	PHO23
transcription from RNA polymerase II promoter	YNL136W	EAF7
transcription from RNA polymerase II promoter	YNL153C	GIM3
transcription from RNA polymerase II promoter	YNL167C	SKO1
transcription from RNA polymerase II promoter	YNL199C	GCR2
transcription from RNA polymerase II promoter	YNL206C	RTT106
transcription from RNA polymerase II promoter	YNL236W	SIN4
transcription from RNA polymerase II promoter	YNL278W	CAF120
transcription from RNA polymerase II promoter	YNL288W	CAF40
transcription from RNA polymerase II promoter	YNL298W	CLA4
transcription from RNA polymerase II promoter	YNL309W	STB1
transcription from RNA polymerase II promoter	YNL330C	RPD3
transcription from RNA polymerase II promoter	YNR010W	CSE2
transcription from RNA polymerase II promoter	YOL001W	PHO80
transcription from RNA polymerase II promoter	YOL004W	SIN3
transcription from RNA polymerase II promoter	YOL006C	TOP1
transcription from RNA polymerase II promoter	YOL012C	HTZ1
transcription from RNA polymerase II promoter	YOL067C	RTG1
transcription from RNA polymerase II promoter	YOL108C	INO4
transcription from RNA polymerase II promoter	YOL116W	MSN1
transcription from RNA polymerase II promoter	YOR038C	HIR2
transcription from RNA polymerase II promoter	YOR047C	STD1
transcription from RNA polymerase II promoter	YOR064C	YNG1
transcription from RNA polymerase II promoter	YOR113W	AZF1
transcription from RNA polymerase II promoter	YOR123C	LEO1
transcription from RNA polymerase II promoter	YOR140W	SFL1
transcription from RNA polymerase II promoter	YOR179C	SYC1
transcription from RNA polymerase II promoter	YOR298C-A	MBF1
transcription from RNA polymerase II promoter	YOR304W	ISW2
