GO_Slim_term	cluster	Slim_term_counts_per_cluster	cluster_size	GO_Slim_term_count	percent_cluster	percent_slim	normalized	clustering_method	scaled_normalized
peroxisome organization	0	9	46	50	0.195652173913043	0.18	0.00391304347826087	library_pearson_complete	25.3867569624345
transmembrane transport	0	9	46	232	0.195652173913043	0.0387931034482759	0.000843328335832084	library_pearson_complete	4.75483417885574
organelle inheritance	0	2	46	60	0.0434782608695652	0.0333333333333333	0.00072463768115942	library_pearson_complete	3.95710008669458
protein targeting	0	9	46	309	0.195652173913043	0.029126213592233	0.000633178556352891	library_pearson_complete	3.34239236519277
protein glycosylation	1	10	179	62	0.0558659217877095	0.161290322580645	0.000901063254640476	library_pearson_complete	5.14287747652422
protein glycosylation	2	8	220	62	0.0363636363636364	0.129032258064516	0.000586510263929619	library_pearson_complete	3.02872918765226
Golgi vesicle transport	2	20	220	190	0.0909090909090909	0.105263157894737	0.000478468899521531	library_pearson_complete	2.30257024961592
transcription from RNA polymerase I promoter	4	7	237	68	0.029535864978903	0.102941176470588	0.000434350955572102	library_pearson_complete	2.00604826933384
oligosaccharide metabolic process	5	3	158	32	0.0189873417721519	0.09375	0.000593354430379747	library_pearson_complete	3.07472964931245
carbohydrate transport	6	2	119	33	0.0168067226890756	0.0606060606060606	0.000509294626941686	library_pearson_complete	2.50975365210488
endosomal transport	7	14	127	102	0.110236220472441	0.137254901960784	0.00108074725953373	library_pearson_complete	6.35055517376773
vacuole organization	7	5	127	84	0.0393700787401575	0.0595238095238095	0.000468691413573303	library_pearson_complete	2.23685459661831
ribosomal large subunit biogenesis	7	6	127	104	0.047244094488189	0.0576923076923077	0.000454270139309509	library_pearson_complete	2.1399274866924
nucleus organization	8	8	261	66	0.0306513409961686	0.121212121212121	0.000464414257517706	library_pearson_complete	2.20810731897919
cytoplasmic translation	9	17	128	179	0.1328125	0.0949720670391061	0.000741969273743017	library_pearson_complete	4.07358779428633
ribosomal large subunit biogenesis	9	7	128	104	0.0546875	0.0673076923076923	0.000525841346153846	library_pearson_complete	2.62096613185202
ribosomal small subunit biogenesis	9	8	128	135	0.0625	0.0592592592592593	0.000462962962962963	library_pearson_complete	2.19835299461996
protein dephosphorylation	10	3	136	49	0.0220588235294118	0.0612244897959184	0.000450180072028812	library_pearson_complete	2.11243765509577
protein acylation	11	5	102	66	0.0490196078431373	0.0757575757575758	0.000742721330956625	library_pearson_complete	4.07864246080751
histone modification	11	7	102	114	0.0686274509803922	0.0614035087719298	0.000601995184038528	library_pearson_complete	3.1328051885753
vacuole organization	12	5	133	84	0.037593984962406	0.0595238095238095	0.000447547440028643	library_pearson_complete	2.09474342041115
cell morphogenesis	13	2	98	29	0.0204081632653061	0.0689655172413793	0.000703729767769177	library_pearson_complete	3.81657549903139
cytokinesis	13	5	98	88	0.0510204081632653	0.0568181818181818	0.000579777365491651	library_pearson_complete	2.98347657161574
cell budding	13	3	98	58	0.0306122448979592	0.0517241379310345	0.000527797325826882	library_pearson_complete	2.63411250528014
DNA-templated transcription, termination	15	2	89	43	0.0224719101123595	0.0465116279069767	0.000522602560752548	library_pearson_complete	2.59919786762822
protein dephosphorylation	15	2	89	49	0.0224719101123595	0.0408163265306122	0.000458610410456317	library_pearson_complete	2.16909896841168
tRNA processing	16	13	99	109	0.131313131313131	0.119266055045872	0.00120470762672598	library_pearson_complete	7.18370763432823
RNA modification	16	13	99	172	0.131313131313131	0.0755813953488372	0.000763448437867043	library_pearson_complete	4.21795182648512
cell budding	16	3	99	58	0.0303030303030303	0.0517241379310345	0.000522466039707419	library_pearson_complete	2.59828029334829
invasive growth in response to glucose limitation	16	3	99	59	0.0303030303030303	0.0508474576271186	0.000513610683102209	library_pearson_complete	2.53876238200385
response to osmotic stress	17	7	108	92	0.0648148148148148	0.0760869565217391	0.00070450885668277	library_pearson_complete	3.82181184884268
lipid transport	17	4	108	68	0.037037037037037	0.0588235294117647	0.000544662309368192	library_pearson_complete	2.74746407766588
monocarboxylic acid metabolic process	17	6	108	127	0.0555555555555556	0.047244094488189	0.000437445319335083	library_pearson_complete	2.02684585844551
protein alkylation	18	7	202	50	0.0346534653465347	0.14	0.000693069306930693	library_pearson_complete	3.7449252661427
histone modification	18	12	202	114	0.0594059405940594	0.105263157894737	0.000521104742053153	library_pearson_complete	2.58913084892587
telomere organization	18	8	202	78	0.0396039603960396	0.102564102564103	0.000507743082000508	library_pearson_complete	2.49932553290281
transposition	18	2	202	21	0.0099009900990099	0.0952380952380952	0.000471475719000471	library_pearson_complete	2.2555682465545
protein maturation	19	4	99	52	0.0404040404040404	0.0769230769230769	0.000777000777000777	library_pearson_complete	4.30903871942818
peroxisome organization	19	3	99	50	0.0303030303030303	0.06	0.000606060606060606	library_pearson_complete	3.16012937643979
protein modification by small protein conjugation or removal	19	8	99	170	0.0808080808080808	0.0470588235294118	0.00047534165181224	library_pearson_complete	2.28155164356631
nucleus organization	20	4	135	66	0.0296296296296296	0.0606060606060606	0.000448933782267116	library_pearson_complete	2.10406119248076
cell morphogenesis	21	2	78	29	0.0256410256410256	0.0689655172413793	0.000884173297966401	library_pearson_complete	5.02935805672497
protein folding	21	5	78	95	0.0641025641025641	0.0526315789473684	0.000674763832658569	library_pearson_complete	3.6218919831911
protein dephosphorylation	21	2	78	49	0.0256410256410256	0.0408163265306122	0.000523286237571952	library_pearson_complete	2.6037929413378
peroxisome organization	21	2	78	50	0.0256410256410256	0.04	0.000512820512820513	library_pearson_complete	2.53345155299158
DNA replication	22	11	155	139	0.0709677419354839	0.079136690647482	0.000510559294499884	library_pearson_complete	2.5182536340892
transcription from RNA polymerase III promoter	22	3	155	41	0.0193548387096774	0.0731707317073171	0.0004720692368214	library_pearson_complete	2.25955735084722
