GO_Slim_term	cluster	Slim_term_counts_per_cluster	cluster_size	GO_Slim_term_count	percent_cluster	percent_slim	normalized
protein dephosphorylation	13	2	76	49	0.0263157894736842	0.0408163265306122	0.000537056928034372
carbohydrate transport	13	1	76	33	0.0131578947368421	0.0303030303030303	0.000398724082934609
amino acid transport	13	1	76	40	0.0131578947368421	0.025	0.000328947368421053
vitamin metabolic process	13	1	76	43	0.0131578947368421	0.0232558139534884	0.000305997552019584
protein folding	13	2	76	95	0.0263157894736842	0.0210526315789474	0.000277008310249308
lipid metabolic process	13	6	76	287	0.0789473684210526	0.0209059233449477	0.000275077938749312
response to oxidative stress	13	2	76	103	0.0263157894736842	0.0194174757281553	0.000255493101686254
protein maturation	13	1	76	52	0.0131578947368421	0.0192307692307692	0.000253036437246964
regulation of cell cycle	13	4	76	213	0.0526315789473684	0.0187793427230047	0.000247096614776378
response to starvation	13	1	76	56	0.0131578947368421	0.0178571428571429	0.000234962406015038
histone modification	13	2	76	114	0.0263157894736842	0.0175438596491228	0.00023084025854109
conjugation	13	2	76	124	0.0263157894736842	0.0161290322580645	0.000212224108658744
protein phosphorylation	13	3	76	197	0.0394736842105263	0.0152284263959391	0.000200374031525514
protein acylation	13	1	76	66	0.0131578947368421	0.0151515151515152	0.000199362041467305
transcription from RNA polymerase II promoter	13	7	76	480	0.0921052631578947	0.0145833333333333	0.000191885964912281
DNA-templated transcription, initiation	13	1	76	71	0.0131578947368421	0.0140845070422535	0.000185322461082283
response to heat	13	1	76	71	0.0131578947368421	0.0140845070422535	0.000185322461082283
chromatin organization	13	4	76	318	0.0526315789473684	0.0125786163522013	0.000165508109897385
regulation of organelle organization	13	3	76	239	0.0394736842105263	0.0125523012552301	0.000165161858621449
Golgi vesicle transport	13	2	76	190	0.0263157894736842	0.0105263157894737	0.000138504155124654
endocytosis	13	1	76	98	0.0131578947368421	0.0102040816326531	0.000134264232008593
organelle fission	13	3	76	296	0.0394736842105263	0.0101351351351351	0.000133357041251778
carbohydrate metabolic process	13	2	76	200	0.0263157894736842	0.01	0.000131578947368421
protein targeting	13	3	76	309	0.0394736842105263	0.00970873786407767	0.000127746550843127
proteolysis involved in cellular protein catabolic process	13	2	76	216	0.0263157894736842	0.00925925925925926	0.000121832358674464
regulation of protein modification process	13	1	76	110	0.0131578947368421	0.00909090909090909	0.000119617224880383
cellular ion homeostasis	13	1	76	125	0.0131578947368421	0.008	0.000105263157894737
monocarboxylic acid metabolic process	13	1	76	127	0.0131578947368421	0.0078740157480315	0.000103605470368835
nucleobase-containing compound transport	13	1	76	138	0.0131578947368421	0.0072463768115942	9.534706331045e-05
peptidyl-amino acid modification	13	1	76	151	0.0131578947368421	0.00662251655629139	8.71383757406762e-05
generation of precursor metabolites and energy	13	1	76	155	0.0131578947368421	0.00645161290322581	8.48896434634975e-05
ion transport	13	1	76	162	0.0131578947368421	0.00617283950617284	8.12215724496426e-05
mitotic cell cycle	13	2	76	328	0.0263157894736842	0.00609756097560976	8.02310654685494e-05
protein modification by small protein conjugation or removal	13	1	76	170	0.0131578947368421	0.00588235294117647	7.73993808049536e-05
nuclear transport	13	1	76	176	0.0131578947368421	0.00568181818181818	7.47607655502392e-05
chromosome segregation	13	1	76	198	0.0131578947368421	0.00505050505050505	6.64540138224349e-05
cytoskeleton organization	13	1	76	232	0.0131578947368421	0.00431034482758621	5.67150635208711e-05
transmembrane transport	13	1	76	232	0.0131578947368421	0.00431034482758621	5.67150635208711e-05
DNA repair	13	1	76	246	0.0131578947368421	0.0040650406504065	5.34873769790329e-05
meiotic cell cycle	13	1	76	287	0.0131578947368421	0.00348432055749129	4.58463231248854e-05
cellular response to DNA damage stimulus	13	1	76	299	0.0131578947368421	0.00334448160535117	4.40063369125154e-05
mitochondrion organization	13	1	76	425	0.0131578947368421	0.00235294117647059	3.09597523219814e-05
RNA splicing	12	12	98	144	0.122448979591837	0.0833333333333333	0.000850340136054422
mRNA processing	12	12	98	170	0.122448979591837	0.0705882352941176	0.000720288115246098
exocytosis	12	2	98	49	0.0204081632653061	0.0408163265306122	0.00041649312786339
oligosaccharide metabolic process	12	1	98	32	0.0102040816326531	0.03125	0.000318877551020408
ribosomal small subunit biogenesis	12	4	98	135	0.0408163265306122	0.0296296296296296	0.000302343159486017
response to heat	12	2	98	71	0.0204081632653061	0.028169014084507	0.000287438919229664
vitamin metabolic process	12	1	98	43	0.0102040816326531	0.0232558139534884	0.000237304224015187
nucleobase-containing compound transport	12	3	98	138	0.0306122448979592	0.0217391304347826	0.000221827861579414
regulation of DNA metabolic process	12	2	98	106	0.0204081632653061	0.0188679245283019	0.000192529842125529
tRNA processing	12	2	98	109	0.0204081632653061	0.018348623853211	0.00018723085564501
nuclear transport	12	3	98	176	0.0306122448979592	0.0170454545454545	0.000173933209647495
ribosome assembly	12	1	98	59	0.0102040816326531	0.0169491525423729	0.000172950536146662
protein phosphorylation	12	3	98	197	0.0306122448979592	0.0152284263959391	0.000155392106081011
nucleus organization	12	1	98	66	0.0102040816326531	0.0151515151515152	0.00015460729746444
RNA catabolic process	12	2	98	132	0.0204081632653061	0.0151515151515152	0.00015460729746444
rRNA processing	12	4	98	311	0.0408163265306122	0.0128617363344051	0.00013124220749393
telomere organization	12	1	98	78	0.0102040816326531	0.0128205128205128	0.000130821559392988
RNA modification	12	2	98	172	0.0204081632653061	0.0116279069767442	0.000118652112007594
cytokinesis	12	1	98	88	0.0102040816326531	0.0113636363636364	0.00011595547309833
cytoplasmic translation	12	2	98	179	0.0204081632653061	0.0111731843575419	0.00011401208528104
response to osmotic stress	12	1	98	92	0.0102040816326531	0.0108695652173913	0.000110913930789707
endocytosis	12	1	98	98	0.0102040816326531	0.0102040816326531	0.000104123281965848
organelle fission	12	3	98	296	0.0306122448979592	0.0101351351351351	0.000103419746276889
chromosome segregation	12	2	98	198	0.0204081632653061	0.0101010101010101	0.00010307153164296
carbohydrate metabolic process	12	2	98	200	0.0204081632653061	0.01	0.000102040816326531
response to oxidative stress	12	1	98	103	0.0102040816326531	0.00970873786407767	9.90687537150783e-05
proteolysis involved in cellular protein catabolic process	12	2	98	216	0.0204081632653061	0.00925925925925926	9.44822373393802e-05
mitotic cell cycle	12	3	98	328	0.0306122448979592	0.00914634146341463	9.33300149328024e-05
regulation of protein modification process	12	1	98	110	0.0102040816326531	0.00909090909090909	9.27643784786642e-05
regulation of organelle organization	12	2	98	239	0.0204081632653061	0.00836820083682008	8.53898044573478e-05
conjugation	12	1	98	124	0.0102040816326531	0.00806451612903226	8.22909809084924e-05
cellular ion homeostasis	12	1	98	125	0.0102040816326531	0.008	8.16326530612245e-05
monocarboxylic acid metabolic process	12	1	98	127	0.0102040816326531	0.0078740157480315	8.03470994697091e-05
organelle assembly	12	1	98	131	0.0102040816326531	0.00763358778625954	7.78937529210157e-05
DNA replication	12	1	98	139	0.0102040816326531	0.00719424460431655	7.34106592277199e-05
mitochondrion organization	12	3	98	425	0.0306122448979592	0.00705882352941176	7.20288115246098e-05
meiotic cell cycle	12	2	98	287	0.0204081632653061	0.00696864111498258	7.11085828059447e-05
peptidyl-amino acid modification	12	1	98	151	0.0102040816326531	0.00662251655629139	6.75766995539938e-05
generation of precursor metabolites and energy	12	1	98	155	0.0102040816326531	0.00645161290322581	6.58327847267939e-05
protein modification by small protein conjugation or removal	12	1	98	170	0.0102040816326531	0.00588235294117647	6.00240096038415e-05
cofactor metabolic process	12	1	98	178	0.0102040816326531	0.00561797752808989	5.73263013070397e-05
DNA recombination	12	1	98	179	0.0102040816326531	0.00558659217877095	5.70060426405199e-05
nucleobase-containing small molecule metabolic process	12	1	98	198	0.0102040816326531	0.00505050505050505	5.15357658214801e-05
cytoskeleton organization	12	1	98	232	0.0102040816326531	0.00431034482758621	4.39831104855735e-05
lipid metabolic process	12	1	98	287	0.0102040816326531	0.00348432055749129	3.55542914029723e-05
chromatin organization	12	1	98	318	0.0102040816326531	0.00314465408805031	3.20883070209216e-05
protein glycosylation	11	17	99	62	0.171717171717172	0.274193548387097	0.00276963180188987
protein lipidation	11	4	99	45	0.0404040404040404	0.0888888888888889	0.000897867564534231
cell wall organization or biogenesis	11	13	99	198	0.131313131313131	0.0656565656565657	0.000663197632894603
protein maturation	11	2	99	52	0.0202020202020202	0.0384615384615385	0.000388500388500389
lipid metabolic process	11	11	99	287	0.111111111111111	0.0383275261324042	0.000387146728610143
oligosaccharide metabolic process	11	1	99	32	0.0101010101010101	0.03125	0.000315656565656566
carbohydrate transport	11	1	99	33	0.0101010101010101	0.0303030303030303	0.000306091215182124
carbohydrate metabolic process	11	5	99	200	0.0505050505050505	0.025	0.000252525252525253
response to osmotic stress	11	2	99	92	0.0202020202020202	0.0217391304347826	0.000219587176108915
protein folding	11	2	99	95	0.0202020202020202	0.0210526315789474	0.000212652844231792
protein dephosphorylation	11	1	99	49	0.0101010101010101	0.0204081632653061	0.00020614306328592
