GO_Slim_term	cluster	Slim_term_counts_per_cluster	cluster_size	GO_Slim_term_count	percent_cluster	percent_slim	normalized
nucleus organization	20	7	103	66	0.0679611650485437	0.106060606060606	0.00102971462194763
response to heat	20	5	103	71	0.0485436893203883	0.0704225352112676	0.000683713934089977
nuclear transport	20	11	103	176	0.106796116504854	0.0625	0.000606796116504854
ribosomal subunit export from nucleus	20	2	103	46	0.0194174757281553	0.0434782608695652	0.000422119037568594
translational initiation	20	2	103	61	0.0194174757281553	0.0327868852459016	0.000318319274232055
carbohydrate transport	20	1	103	33	0.00970873786407767	0.0303030303030303	0.000294204177699323
nucleobase-containing compound transport	20	4	103	138	0.0388349514563107	0.0289855072463768	0.000281412691712396
regulation of translation	20	3	103	105	0.029126213592233	0.0285714285714286	0.000277392510402219
protein targeting	20	8	103	309	0.0776699029126214	0.0258899676375405	0.000251358909102335
amino acid transport	20	1	103	40	0.00970873786407767	0.025	0.000242718446601942
protein lipidation	20	1	103	45	0.00970873786407767	0.0222222222222222	0.000215749730312837
protein alkylation	20	1	103	50	0.00970873786407767	0.02	0.000194174757281553
invasive growth in response to glucose limitation	20	1	103	59	0.00970873786407767	0.0169491525423729	0.000164554879052164
protein acylation	20	1	103	66	0.00970873786407767	0.0151515151515152	0.000147102088849662
ribosomal small subunit biogenesis	20	2	103	135	0.0194174757281553	0.0148148148148148	0.000143833153541891
regulation of cell cycle	20	3	103	213	0.029126213592233	0.0140845070422535	0.000136742786817995
peptidyl-amino acid modification	20	2	103	151	0.0194174757281553	0.0132450331125828	0.000128592554491095
telomere organization	20	1	103	78	0.00970873786407767	0.0128205128205128	0.000124470998257406
cytokinesis	20	1	103	88	0.00970873786407767	0.0113636363636364	0.000110326566637246
response to osmotic stress	20	1	103	92	0.00970873786407767	0.0108695652173913	0.000105529759392149
protein folding	20	1	103	95	0.00970873786407767	0.0105263157894737	0.000102197240674502
DNA-templated transcription, elongation	20	1	103	96	0.00970873786407767	0.0104166666666667	0.000101132686084142
organelle fission	20	3	103	296	0.029126213592233	0.0101351351351351	9.83993702440304e-05
nucleobase-containing small molecule metabolic process	20	2	103	198	0.0194174757281553	0.0101010101010101	9.80680592331078e-05
response to oxidative stress	20	1	103	103	0.00970873786407767	0.00970873786407767	9.42595909133754e-05
rRNA processing	20	3	103	311	0.029126213592233	0.00964630225080386	9.36534199107171e-05
