GO_Slim_term	cluster	Slim_term_counts_per_cluster	cluster_size	GO_Slim_term_count	percent_cluster	percent_slim	normalized
carbohydrate transport	19	2	69	33	0.0289855072463768	0.0606060606060606	0.000878348704435661
cellular amino acid metabolic process	19	6	69	153	0.0869565217391304	0.0392156862745098	0.000568343279340722
response to osmotic stress	19	3	69	92	0.0434782608695652	0.0326086956521739	0.000472589792060492
protein acylation	19	2	69	66	0.0289855072463768	0.0303030303030303	0.00043917435221783
nucleobase-containing compound transport	19	4	69	138	0.0579710144927536	0.0289855072463768	0.000420079815164881
response to heat	19	2	69	71	0.0289855072463768	0.028169014084507	0.000408246580934885
tRNA aminoacylation for protein translation	19	1	69	36	0.0144927536231884	0.0277777777777778	0.000402576489533011
regulation of transport	19	2	69	84	0.0289855072463768	0.0238095238095238	0.000345065562456867
tRNA processing	19	2	69	109	0.0289855072463768	0.018348623853211	0.000265922084829145
response to starvation	19	1	69	56	0.0144927536231884	0.0178571428571429	0.00025879917184265
histone modification	19	2	69	114	0.0289855072463768	0.0175438596491228	0.000254258835494533
organelle inheritance	19	1	69	60	0.0144927536231884	0.0166666666666667	0.000241545893719807
translational initiation	19	1	69	61	0.0144927536231884	0.0163934426229508	0.000237586124970302
conjugation	19	2	69	124	0.0289855072463768	0.0161290322580645	0.000233754090696587
cell wall organization or biogenesis	19	3	69	198	0.0434782608695652	0.0151515151515152	0.000219587176108915
lipid transport	19	1	69	68	0.0144927536231884	0.0147058823529412	0.000213128729752771
peptidyl-amino acid modification	19	2	69	151	0.0289855072463768	0.0132450331125828	0.000191957001631635
RNA modification	19	2	69	172	0.0289855072463768	0.0116279069767442	0.000168520390967307
nuclear transport	19	2	69	176	0.0289855072463768	0.0113636363636364	0.000164690382081686
DNA-templated transcription, elongation	19	1	69	96	0.0144927536231884	0.0104166666666667	0.000150966183574879
transcription from RNA polymerase II promoter	19	5	69	480	0.072463768115942	0.0104166666666667	0.000150966183574879
endocytosis	19	1	69	98	0.0144927536231884	0.0102040816326531	0.000147885241052943
response to oxidative stress	19	1	69	103	0.0144927536231884	0.00970873786407767	0.000140706345856198
chromatin organization	19	3	69	318	0.0434782608695652	0.00943396226415094	0.000136724090784796
regulation of protein modification process	19	1	69	110	0.0144927536231884	0.00909090909090909	0.000131752305665349
