GO_Slim_term	cluster	Slim_term_counts_per_cluster	cluster_size	GO_Slim_term_count	percent_cluster	percent_slim	normalized
histone modification	2	16	724	114	0.0220994475138122	0.140350877192982	0.000193854802752738
regulation of cell cycle	2	27	724	213	0.037292817679558	0.126760563380282	0.000175083651077737
regulation of DNA metabolic process	2	13	724	106	0.0179558011049724	0.122641509433962	0.000169394350046909
chromosome segregation	2	24	724	198	0.0331491712707182	0.121212121212121	0.000167420056922819
nucleus organization	2	8	724	66	0.0110497237569061	0.121212121212121	0.000167420056922819
chromatin organization	2	36	724	318	0.0497237569060773	0.113207547169811	0.000156364015427916
peptidyl-amino acid modification	2	17	724	151	0.0234806629834254	0.112582781456954	0.000155501079360433
protein modification by small protein conjugation or removal	2	19	724	170	0.0262430939226519	0.111764705882353	0.000154371140721482
organelle fission	2	33	724	296	0.0455801104972376	0.111486486486486	0.000153986859787965
protein acylation	2	7	724	66	0.00966850828729282	0.106060606060606	0.000146492549807467
DNA-templated transcription, elongation	2	10	724	96	0.0138121546961326	0.104166666666667	0.000143876611418048
nuclear transport	2	18	724	176	0.0248618784530387	0.102272727272727	0.000141260673028629
invasive growth in response to glucose limitation	2	6	724	59	0.00828729281767956	0.101694915254237	0.000140462590130162
cellular response to DNA damage stimulus	2	30	724	299	0.0414364640883978	0.100334448160535	0.000138583491934441
response to heat	2	7	724	71	0.00966850828729282	0.0985915492957746	0.000136176173060462
DNA repair	2	24	724	246	0.0331491712707182	0.0975609756097561	0.000134752728742757
mitotic cell cycle	2	32	724	328	0.0441988950276243	0.0975609756097561	0.000134752728742757
transposition	2	2	724	21	0.00276243093922652	0.0952380952380952	0.000131544330439358
oligosaccharide metabolic process	2	3	724	32	0.00414364640883978	0.09375	0.000129488950276243
regulation of protein modification process	2	10	724	110	0.0138121546961326	0.0909090909090909	0.000125565042692115
DNA recombination	2	16	724	179	0.0220994475138122	0.0893854748603352	0.000123460600635822
regulation of organelle organization	2	21	724	239	0.0290055248618785	0.0878661087866109	0.000121362028710789
protein alkylation	2	4	724	50	0.00552486187845304	0.08	0.000110497237569061
nucleobase-containing compound transport	2	11	724	138	0.0151933701657459	0.0797101449275362	0.000110096885259028
meiotic cell cycle	2	22	724	287	0.0303867403314917	0.0766550522648084	0.000105877144012166
response to osmotic stress	2	7	724	92	0.00966850828729282	0.0760869565217391	0.000105092481383618
transcription from RNA polymerase I promoter	2	5	724	68	0.0069060773480663	0.0735294117647059	0.000101559961000975
transcription from RNA polymerase III promoter	2	3	724	41	0.00414364640883978	0.0731707317073171	0.000101064546557068
cytoplasmic translation	2	13	724	179	0.0179558011049724	0.0726256983240224	0.000100311738016605
sporulation	2	10	724	138	0.0138121546961326	0.072463768115942	0.000100088077508207
DNA replication	2	10	724	139	0.0138121546961326	0.0719424460431655	9.93680193966374e-05
protein phosphorylation	2	14	724	197	0.0193370165745856	0.0710659898477157	9.81574445410438e-05
cell wall organization or biogenesis	2	14	724	198	0.0193370165745856	0.0707070707070707	9.76616998716446e-05
cell budding	2	4	724	58	0.00552486187845304	0.0689655172413793	9.52562392836731e-05
pseudohyphal growth	2	5	724	74	0.0069060773480663	0.0675675675675676	9.33253695684635e-05
ribosomal large subunit biogenesis	2	7	724	104	0.00966850828729282	0.0673076923076923	9.2966425839354e-05
transcription from RNA polymerase II promoter	2	32	724	480	0.0441988950276243	0.0666666666666667	9.20810313075506e-05
telomere organization	2	5	724	78	0.0069060773480663	0.0641025641025641	8.85394531803372e-05
carbohydrate transport	2	2	724	33	0.00276243093922652	0.0606060606060606	8.37100284614097e-05
carbohydrate metabolic process	2	11	724	200	0.0151933701657459	0.055	7.59668508287293e-05
RNA catabolic process	2	7	724	132	0.00966850828729282	0.053030303030303	7.32462749037335e-05
protein folding	2	5	724	95	0.0069060773480663	0.0526315789473684	7.26955510322768e-05
ribosomal small subunit biogenesis	2	7	724	135	0.00966850828729282	0.0518518518518519	7.16185799058727e-05
organelle inheritance	2	3	724	60	0.00414364640883978	0.05	6.9060773480663e-05
protein glycosylation	2	3	724	62	0.00414364640883978	0.0483870967741935	6.683300659419e-05
