GO_Slim_term	cluster	Slim_term_counts_per_cluster	cluster_size	GO_Slim_term_count	percent_cluster	percent_slim	normalized
protein maturation	16	3	74	52	0.0405405405405405	0.0576923076923077	0.00077962577962578
mitochondrion organization	16	11	74	425	0.148648648648649	0.0258823529411765	0.000349761526232114
DNA replication	16	3	74	139	0.0405405405405405	0.0215827338129496	0.00029165856503986
protein folding	16	2	74	95	0.027027027027027	0.0210526315789474	0.000284495021337127
response to oxidative stress	16	2	74	103	0.027027027027027	0.0194174757281553	0.000262398320650748
ribosome assembly	16	1	74	59	0.0135135135135135	0.0169491525423729	0.000229042601923958
organelle inheritance	16	1	74	60	0.0135135135135135	0.0166666666666667	0.000225225225225225
ribosomal small subunit biogenesis	16	2	74	135	0.027027027027027	0.0148148148148148	0.0002002002002002
lipid transport	16	1	74	68	0.0135135135135135	0.0147058823529412	0.000198728139904611
cellular amino acid metabolic process	16	2	74	153	0.027027027027027	0.0130718954248366	0.000176647235470765
transmembrane transport	16	3	74	232	0.0405405405405405	0.0129310344827586	0.000174743709226468
rRNA processing	16	4	74	311	0.0540540540540541	0.0128617363344051	0.000173807247762232
regulation of transport	16	1	74	84	0.0135135135135135	0.0119047619047619	0.000160875160875161
cytokinesis	16	1	74	88	0.0135135135135135	0.0113636363636364	0.000153562653562654
cytoplasmic translation	16	2	74	179	0.027027027027027	0.0111731843575419	0.00015098897780462
DNA recombination	16	2	74	179	0.027027027027027	0.0111731843575419	0.00015098897780462
response to osmotic stress	16	1	74	92	0.0135135135135135	0.0108695652173913	0.000146886016451234
DNA-templated transcription, elongation	16	1	74	96	0.0135135135135135	0.0104166666666667	0.000140765765765766
chromosome segregation	16	2	74	198	0.027027027027027	0.0101010101010101	0.000136500136500137
cellular response to DNA damage stimulus	16	3	74	299	0.0405405405405405	0.0100334448160535	0.000135587092108831
ribosomal large subunit biogenesis	16	1	74	104	0.0135135135135135	0.00961538461538462	0.00012993762993763
regulation of DNA metabolic process	16	1	74	106	0.0135135135135135	0.00943396226415094	0.00012748597654258
proteolysis involved in cellular protein catabolic process	16	2	74	216	0.027027027027027	0.00925925925925926	0.000125125125125125
transcription from RNA polymerase II promoter	16	4	74	480	0.0540540540540541	0.00833333333333333	0.000112612612612613
DNA repair	16	2	74	246	0.027027027027027	0.00813008130081301	0.0001098659635245
organelle assembly	16	1	74	131	0.0135135135135135	0.00763358778625954	0.00010315659170621
RNA catabolic process	16	1	74	132	0.0135135135135135	0.00757575757575758	0.000102375102375102
sporulation	16	1	74	138	0.0135135135135135	0.0072463768115942	9.79240109674892e-05
meiotic cell cycle	16	2	74	287	0.027027027027027	0.00696864111498258	9.41708258781429e-05
organelle fission	16	2	74	296	0.027027027027027	0.00675675675675676	9.13075237399562e-05
protein targeting	16	2	74	309	0.027027027027027	0.00647249190938511	8.74661068835826e-05
mRNA processing	16	1	74	170	0.0135135135135135	0.00588235294117647	7.94912559618442e-05
protein modification by small protein conjugation or removal	16	1	74	170	0.0135135135135135	0.00588235294117647	7.94912559618442e-05
cofactor metabolic process	16	1	74	178	0.0135135135135135	0.00561797752808989	7.59186152444579e-05
protein phosphorylation	16	1	74	197	0.0135135135135135	0.0050761421319797	6.85965152970229e-05
regulation of cell cycle	16	1	74	213	0.0135135135135135	0.00469483568075117	6.34437254155564e-05
regulation of organelle organization	16	1	74	239	0.0135135135135135	0.00418410041841004	5.65418975460816e-05
mitotic cell cycle	16	1	74	328	0.0135135135135135	0.00304878048780488	4.11997363216875e-05
transposition	15	1	93	21	0.010752688172043	0.0476190476190476	0.000512032770097286
response to starvation	15	2	93	56	0.021505376344086	0.0357142857142857	0.000384024577572965
cell budding	15	2	93	58	0.021505376344086	0.0344827586206897	0.000370782350760104
cell morphogenesis	15	1	93	29	0.010752688172043	0.0344827586206897	0.000370782350760104
