ORF	cluster	gene_name
YCL037C	ribosome_GO_5	SRO9
YDR477W	ribosome_GO_5	SNF1
YFL001W	ribosome_GO_5	DEG1
YFL023W	ribosome_GO_5	BUD27
YFR031C-A	ribosome_GO_5	RPL2A
YGL049C	ribosome_GO_5	TIF4632
YGL105W	ribosome_GO_5	ARC1
YGL244W	ribosome_GO_5	RTF1
YHL025W	ribosome_GO_5	SNF6
YJR145C	ribosome_GO_5	RPS4A
YKR028W	ribosome_GO_5	SAP190
YMR247C	ribosome_GO_5	RKR1
YMR282C	ribosome_GO_5	AEP2
YMR285C	ribosome_GO_5	NGL2
YNR004W	ribosome_GO_5	SWM2
YOL027C	ribosome_GO_5	MDM38
YOR006C	ribosome_GO_5	TSR3
YPL157W	ribosome_GO_5	TGS1
YPL226W	ribosome_GO_5	NEW1
YAL020C	ribosome_GO_4	ATS1
YBR022W	ribosome_GO_4	POA1
YDL134C	ribosome_GO_4	PPH21
YGL211W	ribosome_GO_4	NCS6
YGR200C	ribosome_GO_4	ELP2
YHR111W	ribosome_GO_4	UBA4
YHR187W	ribosome_GO_4	IKI1
YIL008W	ribosome_GO_4	URM1
YJR066W	ribosome_GO_4	TOR1
YKL110C	ribosome_GO_4	KTI12
YKL139W	ribosome_GO_4	CTK1
YKL204W	ribosome_GO_4	EAP1
YML112W	ribosome_GO_4	CTK3
YMR283C	ribosome_GO_4	RIT1
YMR312W	ribosome_GO_4	ELP6
YNL001W	ribosome_GO_4	DOM34
YNL119W	ribosome_GO_4	NCS2
YPL086C	ribosome_GO_4	ELP3
YPL101W	ribosome_GO_4	ELP4
YPR129W	ribosome_GO_4	SCD6
YBR031W	ribosome_GO_3	RPL4A
YDL175C	ribosome_GO_3	AIR2
YDL213C	ribosome_GO_3	NOP6
YDL224C	ribosome_GO_3	WHI4
YDR083W	ribosome_GO_3	RRP8
YDR101C	ribosome_GO_3	ARX1
YER002W	ribosome_GO_3	NOP16
YGL031C	ribosome_GO_3	RPL24A
YGR054W	ribosome_GO_3	YGR054W
YGR081C	ribosome_GO_3	SLX9
YHR066W	ribosome_GO_3	SSF1
YHR081W	ribosome_GO_3	LRP1
YJL138C	ribosome_GO_3	TIF2
YJL140W	ribosome_GO_3	RPB4
YKR059W	ribosome_GO_3	TIF1
YNL224C	ribosome_GO_3	SQS1
YNL299W	ribosome_GO_3	TRF5
YOL041C	ribosome_GO_3	NOP12
YOL080C	ribosome_GO_3	REX4
YOL115W	ribosome_GO_3	PAP2
YOR078W	ribosome_GO_3	BUD21
YAL026C	ribosome_GO_2	DRS2
YBL024W	ribosome_GO_2	NCL1
YBL027W	ribosome_GO_2	RPL19B
YBL072C	ribosome_GO_2	RPS8A
YDL006W	ribosome_GO_2	PTC1
YDL061C	ribosome_GO_2	RPS29B
YDR159W	ribosome_GO_2	SAC3
YDR293C	ribosome_GO_2	SSD1
YFR009W	ribosome_GO_2	GCN20
YGL029W	ribosome_GO_2	CGR1
YGL173C	ribosome_GO_2	XRN1
YGL195W	ribosome_GO_2	GCN1
YGR178C	ribosome_GO_2	PBP1
YHR203C	ribosome_GO_2	RPS4B
YJL098W	ribosome_GO_2	SAP185
YKL081W	ribosome_GO_2	TEF4
YLL045C	ribosome_GO_2	RPL8B
YLR150W	ribosome_GO_2	STM1
YLR401C	ribosome_GO_2	DUS3
YML063W	ribosome_GO_2	RPS1B
YMR116C	ribosome_GO_2	ASC1
YNL255C	ribosome_GO_2	GIS2
YNL292W	ribosome_GO_2	PUS4
YOL045W	ribosome_GO_2	PSK2
YOL093W	ribosome_GO_2	TRM10
YPL079W	ribosome_GO_2	RPL21B
YPL090C	ribosome_GO_2	RPS6A
YPL212C	ribosome_GO_2	PUS1
YPL239W	ribosome_GO_2	YAR1
YBL087C	ribosome_GO_1	RPL23A
YBR181C	ribosome_GO_1	RPS6B
YCR031C	ribosome_GO_1	RPS14A
YDL033C	ribosome_GO_1	SLM3
YDL082W	ribosome_GO_1	RPL13A
YDL083C	ribosome_GO_1	RPS16B
YDL130W	ribosome_GO_1	RPP1B
YDL136W	ribosome_GO_1	RPL35B
YDL191W	ribosome_GO_1	RPL35A
YDR025W	ribosome_GO_1	RPS11A
YDR378C	ribosome_GO_1	LSM6
YDR496C	ribosome_GO_1	PUF6
YGL014W	ribosome_GO_1	PUF4
YGL078C	ribosome_GO_1	DBP3
YGL147C	ribosome_GO_1	RPL9A
YGR085C	ribosome_GO_1	RPL11B
YGR214W	ribosome_GO_1	RPS0A
YHL033C	ribosome_GO_1	RPL8A
YHR021C	ribosome_GO_1	RPS27B
YHR034C	ribosome_GO_1	PIH1
YHR189W	ribosome_GO_1	PTH1
YIL052C	ribosome_GO_1	RPL34B
YIL133C	ribosome_GO_1	RPL16A
YJL136C	ribosome_GO_1	RPS21B
YJL177W	ribosome_GO_1	RPL17B
YKL009W	ribosome_GO_1	MRT4
YKR024C	ribosome_GO_1	DBP7
YLR435W	ribosome_GO_1	TSR2
YMR080C	ribosome_GO_1	NAM7
YMR230W	ribosome_GO_1	RPS10B
YMR269W	ribosome_GO_1	TMA23
YNL147W	ribosome_GO_1	LSM7
YNL227C	ribosome_GO_1	JJJ1
YOR308C	ribosome_GO_1	SNU66
YPR043W	ribosome_GO_1	RPL43A
YBL021C	transcription and mRNA processing_GO_8	HAP3
YBR245C	transcription and mRNA processing_GO_8	ISW1
YDL033C	transcription and mRNA processing_GO_8	SLM3
YDL080C	transcription and mRNA processing_GO_8	THI3
YDR378C	transcription and mRNA processing_GO_8	LSM6
YDR512C	transcription and mRNA processing_GO_8	EMI1
YGR270W	transcription and mRNA processing_GO_8	YTA7
YJL168C	transcription and mRNA processing_GO_8	SET2
YKL109W	transcription and mRNA processing_GO_8	HAP4
YKL208W	transcription and mRNA processing_GO_8	CBT1
YMR075W	transcription and mRNA processing_GO_8	RCO1
YNL147W	transcription and mRNA processing_GO_8	LSM7
YOR358W	transcription and mRNA processing_GO_8	HAP5
YPR023C	transcription and mRNA processing_GO_8	EAF3
YPR134W	transcription and mRNA processing_GO_8	MSS18
YAL020C	transcription and mRNA processing_GO_7	ATS1
YDR173C	transcription and mRNA processing_GO_7	ARG82
YGL211W	transcription and mRNA processing_GO_7	NCS6
YGR056W	transcription and mRNA processing_GO_7	RSC1
YGR200C	transcription and mRNA processing_GO_7	ELP2
YHR111W	transcription and mRNA processing_GO_7	UBA4
YHR187W	transcription and mRNA processing_GO_7	IKI1
YIL008W	transcription and mRNA processing_GO_7	URM1
YKL110C	transcription and mRNA processing_GO_7	KTI12
YKL149C	transcription and mRNA processing_GO_7	DBR1
YML121W	transcription and mRNA processing_GO_7	GTR1
YMR216C	transcription and mRNA processing_GO_7	SKY1
YMR312W	transcription and mRNA processing_GO_7	ELP6
YNL119W	transcription and mRNA processing_GO_7	NCS2
YNL278W	transcription and mRNA processing_GO_7	CAF120
YOL115W	transcription and mRNA processing_GO_7	PAP2
YOR179C	transcription and mRNA processing_GO_7	SYC1
YPL086C	transcription and mRNA processing_GO_7	ELP3
YPL101W	transcription and mRNA processing_GO_7	ELP4
YCR063W	transcription and mRNA processing_GO_6	BUD31
YDR174W	transcription and mRNA processing_GO_6	HMO1
YDR392W	transcription and mRNA processing_GO_6	SPT3
YDR448W	transcription and mRNA processing_GO_6	ADA2
YER111C	transcription and mRNA processing_GO_6	SWI4
YER139C	transcription and mRNA processing_GO_6	RTR1
YFL001W	transcription and mRNA processing_GO_6	DEG1
YGL043W	transcription and mRNA processing_GO_6	DST1
YGL127C	transcription and mRNA processing_GO_6	SOH1
YGL151W	transcription and mRNA processing_GO_6	NUT1
YGR252W	transcription and mRNA processing_GO_6	GCN5
YHR041C	transcription and mRNA processing_GO_6	SRB2
YIL153W	transcription and mRNA processing_GO_6	RRD1
YJL115W	transcription and mRNA processing_GO_6	ASF1
YKL032C	transcription and mRNA processing_GO_6	IXR1
YKL139W	transcription and mRNA processing_GO_6	CTK1
YKR028W	transcription and mRNA processing_GO_6	SAP190
YLL002W	transcription and mRNA processing_GO_6	RTT109
YLR055C	transcription and mRNA processing_GO_6	SPT8
YML007W	transcription and mRNA processing_GO_6	YAP1
YNL136W	transcription and mRNA processing_GO_6	EAF7
YNL199C	transcription and mRNA processing_GO_6	GCR2
YNL298W	transcription and mRNA processing_GO_6	CLA4
YNR010W	transcription and mRNA processing_GO_6	CSE2
YOL012C	transcription and mRNA processing_GO_6	HTZ1
YPR045C	transcription and mRNA processing_GO_6	THP3
YPR065W	transcription and mRNA processing_GO_6	ROX1
YPR070W	transcription and mRNA processing_GO_6	MED1
YBR034C	transcription and mRNA processing_GO_5	HMT1
YBR119W	transcription and mRNA processing_GO_5	MUD1
YBR289W	transcription and mRNA processing_GO_5	SNF5
YDL170W	transcription and mRNA processing_GO_5	UGA3
YDL175C	transcription and mRNA processing_GO_5	AIR2
YDR009W	transcription and mRNA processing_GO_5	GAL3
YDR073W	transcription and mRNA processing_GO_5	SNF11
YDR083W	transcription and mRNA processing_GO_5	RRP8
YDR156W	transcription and mRNA processing_GO_5	RPA14
YDR463W	transcription and mRNA processing_GO_5	STP1
YER068W	transcription and mRNA processing_GO_5	MOT2
YFL049W	transcription and mRNA processing_GO_5	SWP82
YGL131C	transcription and mRNA processing_GO_5	SNT2
YGR134W	transcription and mRNA processing_GO_5	CAF130
YGR178C	transcription and mRNA processing_GO_5	PBP1
YHL025W	transcription and mRNA processing_GO_5	SNF6
YHR006W	transcription and mRNA processing_GO_5	STP2
YHR178W	transcription and mRNA processing_GO_5	STB5
YIL036W	transcription and mRNA processing_GO_5	CST6
YIL131C	transcription and mRNA processing_GO_5	FKH1
YIR023W	transcription and mRNA processing_GO_5	DAL81
YJL148W	transcription and mRNA processing_GO_5	RPA34
YJL176C	transcription and mRNA processing_GO_5	SWI3
YLL019C	transcription and mRNA processing_GO_5	KNS1
YLR182W	transcription and mRNA processing_GO_5	SWI6
YML051W	transcription and mRNA processing_GO_5	GAL80
YMR280C	transcription and mRNA processing_GO_5	CAT8
YMR283C	transcription and mRNA processing_GO_5	RIT1
YOL006C	transcription and mRNA processing_GO_5	TOP1
YAL019W	transcription and mRNA processing_GO_4	FUN30
YBL008W	transcription and mRNA processing_GO_4	HIR1
YBR215W	transcription and mRNA processing_GO_4	HPC2
YDR310C	transcription and mRNA processing_GO_4	SUM1
YDR443C	transcription and mRNA processing_GO_4	SSN2
YDR482C	transcription and mRNA processing_GO_4	CWC21
YER177W	transcription and mRNA processing_GO_4	BMH1
YGL133W	transcription and mRNA processing_GO_4	ITC1
YGL174W	transcription and mRNA processing_GO_4	BUD13
YHL020C	transcription and mRNA processing_GO_4	OPI1
YIR005W	transcription and mRNA processing_GO_4	IST3
YJL140W	transcription and mRNA processing_GO_4	RPB4
YJR060W	transcription and mRNA processing_GO_4	CBF1
YJR084W	transcription and mRNA processing_GO_4	YJR084W
YJR140C	transcription and mRNA processing_GO_4	HIR3
YKL074C	transcription and mRNA processing_GO_4	MUD2
YNL025C	transcription and mRNA processing_GO_4	SSN8
YNL167C	transcription and mRNA processing_GO_4	SKO1
YNL236W	transcription and mRNA processing_GO_4	SIN4
YNL288W	transcription and mRNA processing_GO_4	CAF40
YNR004W	transcription and mRNA processing_GO_4	SWM2
YOL001W	transcription and mRNA processing_GO_4	PHO80
YOR140W	transcription and mRNA processing_GO_4	SFL1
YOR304W	transcription and mRNA processing_GO_4	ISW2
YOR308C	transcription and mRNA processing_GO_4	SNU66
YPL157W	transcription and mRNA processing_GO_4	TGS1
YPL213W	transcription and mRNA processing_GO_4	LEA1
YPL254W	transcription and mRNA processing_GO_4	HFI1
YPR057W	transcription and mRNA processing_GO_4	BRR1
YAL021C	transcription and mRNA processing_GO_3	CCR4
YAL051W	transcription and mRNA processing_GO_3	OAF1
YBL024W	transcription and mRNA processing_GO_3	NCL1
YBR009C	transcription and mRNA processing_GO_3	HHF1
YBR022W	transcription and mRNA processing_GO_3	POA1
YBR057C	transcription and mRNA processing_GO_3	MUM2
YDR005C	transcription and mRNA processing_GO_3	MAF1
YDR217C	transcription and mRNA processing_GO_3	RAD9
YDR225W	transcription and mRNA processing_GO_3	HTA1
YEL037C	transcription and mRNA processing_GO_3	RAD23
YER164W	transcription and mRNA processing_GO_3	CHD1
YGR122W	transcription and mRNA processing_GO_3	YGR122W
YHL027W	transcription and mRNA processing_GO_3	RIM101
YIL038C	transcription and mRNA processing_GO_3	NOT3
YJL103C	transcription and mRNA processing_GO_3	GSM1
YKL020C	transcription and mRNA processing_GO_3	SPT23
YKL185W	transcription and mRNA processing_GO_3	ASH1
YLR131C	transcription and mRNA processing_GO_3	ACE2
YLR401C	transcription and mRNA processing_GO_3	DUS3
YMR042W	transcription and mRNA processing_GO_3	ARG80
YMR179W	transcription and mRNA processing_GO_3	SPT21
YNL021W	transcription and mRNA processing_GO_3	HDA1
YNL068C	transcription and mRNA processing_GO_3	FKH2
YNL292W	transcription and mRNA processing_GO_3	PUS4
YOL093W	transcription and mRNA processing_GO_3	TRM10
YOL116W	transcription and mRNA processing_GO_3	MSN1
YOR064C	transcription and mRNA processing_GO_3	YNG1
YOR298C-A	transcription and mRNA processing_GO_3	MBF1
YPL212C	transcription and mRNA processing_GO_3	PUS1
YPR052C	transcription and mRNA processing_GO_3	NHP6A
YBL103C	transcription and mRNA processing_GO_2	RTG3
YCL010C	transcription and mRNA processing_GO_2	SGF29
YDL006W	transcription and mRNA processing_GO_2	PTC1
YER162C	transcription and mRNA processing_GO_2	RAD4
YFL031W	transcription and mRNA processing_GO_2	HAC1
YGL019W	transcription and mRNA processing_GO_2	CKB1
YGL035C	transcription and mRNA processing_GO_2	MIG1
YGL066W	transcription and mRNA processing_GO_2	SGF73
YGL115W	transcription and mRNA processing_GO_2	SNF4
YIL035C	transcription and mRNA processing_GO_2	CKA1
YJL098W	transcription and mRNA processing_GO_2	SAP185
YJR094C	transcription and mRNA processing_GO_2	IME1
YKR099W	transcription and mRNA processing_GO_2	BAS1
YLR113W	transcription and mRNA processing_GO_2	HOG1
YML112W	transcription and mRNA processing_GO_2	CTK3
YMR039C	transcription and mRNA processing_GO_2	SUB1
YMR070W	transcription and mRNA processing_GO_2	MOT3
YMR223W	transcription and mRNA processing_GO_2	UBP8
YNL027W	transcription and mRNA processing_GO_2	CRZ1
YNL076W	transcription and mRNA processing_GO_2	MKS1
