ORF	cluster	gene_name
YBR132C	16	AGP2
YBR156C	16	SLI15
YDR076W	16	RAD55
YDR393W	16	SHE9
YDR512C	16	EMI1
YER068W	16	MOT2
YFL036W	16	RPO41
YGR101W	16	PCP1
YGR231C	16	PHB2
YHR021C	16	RPS27B
YHR025W	16	THR1
YHR178W	16	STB5
YIR002C	16	MPH1
YIR003W	16	AIM21
YJL023C	16	PET130
YJL136C	16	RPS21B
YKL053C-A	16	MDM35
YKL208W	16	CBT1
YKR024C	16	DBP7
YLR091W	16	GEP5
YLR180W	16	SAM1
YMR285C	16	NGL2
YNL278W	16	CAF120
YNR020C	16	ATP23
YOL049W	16	GSH2
YOR297C	16	TIM18
YOR330C	16	MIP1
YPL024W	16	RMI1
YPR024W	16	YME1
YPR106W	16	ISR1
YBR025C	15	OLA1
YCL036W	15	GFD2
YDR073W	15	SNF11
YDR395W	15	SXM1
YEL015W	15	EDC3
YER092W	15	IES5
YFR013W	15	IOC3
YGL028C	15	SCW11
YGL035C	15	MIG1
YGR237C	15	YGR237C
YHL002W	15	HSE1
YHR134W	15	WSS1
YJR082C	15	EAF6
YKL092C	15	BUD2
YKL149C	15	DBR1
YKL166C	15	TPK3
YLR083C	15	EMP70
YLR429W	15	CRN1
YML050W	15	AIM32
YMR109W	15	MYO5
YMR255W	15	GFD1
YNL082W	15	PMS1
YNL116W	15	DMA2
YOL111C	15	MDY2
YOR112W	15	CEX1
YOR179C	15	SYC1
YOR191W	15	ULS1
YPL068C	15	YPL068C
YPR009W	15	SUT2
YPR031W	15	NTO1
YPR052C	15	NHP6A
YAL019W	14	FUN30
YBL017C	14	PEP1
YBR108W	14	AIM3
YBR162C	14	TOS1
YBR288C	14	APM3
YBR290W	14	BSD2
YCL001W	14	RER1
YCL045C	14	EMC1
YCR017C	14	CWH43
YDL095W	14	PMT1
YDL176W	14	YDL176W
YGL203C	14	KEX1
YGL228W	14	SHE10
YGL242C	14	YGL242C
YHR078W	14	YHR078W
YJL024C	14	APS3
YJR036C	14	HUL4
YJR088C	14	EMC2
YML067C	14	ERV41
YML111W	14	BUL2
YML117W	14	NAB6
YMR015C	14	ERG5
YMR029C	14	FAR8
YMR092C	14	AIP1
YNL167C	14	SKO1
YNL299W	14	TRF5
YNL323W	14	LEM3
YNR032W	14	PPG1
YOR154W	14	SLP1
YOR327C	14	SNC2
