ORF	Gene_uniq	cluster	gene_name
YAR002W	YAR002W	21	NUP60
YBL079W	YBL079W	21	NUP170
YCR077C	YCR077C	21	PAT1
YDL088C	YDL088C	21	ASM4
YDR101C	YDR101C	21	ARX1
YDR159W	YDR159W	21	SAC3
YDR192C	YDR192C	21	NUP42
YDR378C	YDR378C	21	LSM6
YGL014W	YGL014W	21	PUF4
YGR081C	YGR081C	21	SLX9
YHR081W	YHR081W	21	LRP1
YHR167W	YHR167W	21	THP2
YIL079C	YIL079C	21	AIR1
YIL149C	YIL149C	21	MLP2
YJL124C	YJL124C	21	LSM1
YJR074W	YJR074W	21	MOG1
YKL068W	YKL068W	21	NUP100
YKR082W	YKR082W	21	NUP133
YKR095W	YKR095W	21	MLP1
YLR018C	YLR018C	21	POM34
YML034W	YML034W	21	SRC1
YML062C	YML062C	21	MFT1
YML103C	YML103C	21	NUP188
YML107C	YML107C	21	PML39
YMR129W	YMR129W	21	POM152
YMR153W	YMR153W	21	NUP53
YMR219W	YMR219W	21	ESC1
YNL147W	YNL147W	21	LSM7
YOL006C	YOL006C	21	TOP1
YOR001W	YOR001W	21	RRP6
YBR283C	YBR283C	20	SSH1
YCL045C	YCL045C	20	EMC1
YCR089W	YCR089W	20	FIG2
YDL155W	1_YDL155W	20	CLB3
YDL223C	YDL223C	20	HBT1
YDL243C	YDL243C	20	AAD4
YDR440W	YDR440W	20	DOT1
YDR479C	YDR479C	20	PEX29
YER123W	YER123W	20	YCK3
YGL081W	YGL081W	20	YGL081W
YGL110C	YGL110C	20	CUE3
YGL196W	YGL196W	20	DSD1
YGR157W	YGR157W	20	CHO2
YGR202C	YGR202C	20	PCT1
YIR033W	YIR033W	20	MGA2
YJL214W	YJL214W	20	HXT8
YJR035W	YJR035W	20	RAD26
YJR088C	YJR088C	20	EMC2
YKL020C	YKL020C	20	SPT23
YKL207W	YKL207W	20	EMC3
YLR083C	YLR083C	20	EMP70
YLR133W	YLR133W	20	CKI1
YML008C	YML008C	20	ERG6
YMR003W	YMR003W	20	AIM34
YMR015C	YMR015C	20	ERG5
YMR029C	YMR029C	20	FAR8
YMR052W	YMR052W	20	FAR3
YMR161W	YMR161W	20	HLJ1
YNL087W	YNL087W	20	TCB2
YNR032W	YNR032W	20	PPG1
YOL108C	YOL108C	20	INO4
YOR016C	YOR016C	20	ERP4
YPL041C	YPL041C	20	MRX11
YPL244C	YPL244C	20	HUT1
YPR030W	YPR030W	20	CSR2
YAL040C	YAL040C	19	CLN3
YAL053W	YAL053W	19	FLC2
YAR014C	YAR014C	19	BUD14
YAR018C	YAR018C	19	KIN3
YBR135W	YBR135W_DAmP	19	CKS1
YBR160W	YBR160W	19	CDC28
YBR160W	YBR160W_TSQ175	19	CDC28
YDL056W	YDL056W	19	MBP1
YDL134C	YDL134C	19	PPH21
YDR335W	YDR335W	19	MSN5
YDR435C	YDR435C	19	PPM1
YER019W	YER019W	19	ISC1
YER111C	YER111C	19	SWI4
YER167W	YER167W	19	BCK2
YGL019W	YGL019W	19	CKB1
YGL167C	YGL167C	19	PMR1
YGL168W	YGL168W	19	HUR1
YGL203C	YGL203C	19	KEX1
YIL035C	YIL035C	19	CKA1
YIL153W	YIL153W	19	RRD1
YKL048C	YKL048C	19	ELM1
YKL101W	YKL101W	19	HSL1
YLR182W	YLR182W	19	SWI6
YMR036C	YMR036C	19	MIH1
YMR073C	YMR073C	19	IRC21
YMR273C	YMR273C	19	ZDS1
YNL053W	YNL053W	19	MSG5
YNL068C	YNL068C	19	FKH2
YNL309W	YNL309W	19	STB1
