ORF	cluster	gene_name
YBL036C	17	YBL036C
YBR126C	17	TPS1
YCR008W	17	SAT4
YCR053W	17	THR4
YDL002C	17	NHP10
YDR127W	17	ARO1
YER052C	17	HOM3
YER092W	17	IES5
YFL013C	17	IES1
YGL253W	17	HXK2
YGR208W	17	SER2
YHR025W	17	THR1
YIL036W	17	CST6
YIR002C	17	MPH1
YJL165C	17	HAL5
YJR066W	17	TOR1
YJR139C	17	HOM6
YKR072C	17	SIS2
YKR096W	17	ESL2
YLR024C	17	UBR2
YML048W	17	GSF2
YMR058W	17	FET3
YMR100W	17	MUB1
YNL215W	17	IES2
YOR184W	17	SER1
YOR189W	17	IES4
YOR322C	17	LDB19
YPL100W	17	ATG21
YPL177C	17	CUP9
YPR084W	17	YPR084W
YBR106W	16	PHO88
YBR283C	16	SSH1
YCL045C	16	EMC1
YCR086W	16	CSM1
YDL091C	16	UBX3
YDR422C	16	SIP1
YDR439W	16	LRS4
YDR479C	16	PEX29
YER120W	16	SCS2
YFL027C	16	GYP8
YGL060W	16	YBP2
YGL126W	16	SCS3
YGR157W	16	CHO2
YGR202C	16	PCT1
YIL027C	16	EMC5
YIL090W	16	ICE2
YIR033W	16	MGA2
YJR073C	16	OPI3
YJR088C	16	EMC2
YKL020C	16	SPT23
YKL207W	16	EMC3
YKR010C	16	TOF2
YLR133W	16	CKI1
YML013W	16	UBX2
YMR029C	16	FAR8
YMR052W	16	FAR3
YMR161W	16	HLJ1
YNR032W	16	PPG1
YOR165W	16	SEY1
YOR311C	16	DGK1
YBR156C	15	SLI15
YBR201W	15	DER1
YCR020C	15	PET18
YDL025C	15	RTK1
YDL122W	15	UBP1
YDL188C	15	PPH22
YDL204W	15	RTN2
YDL224C	15	WHI4
YDR057W	15	YOS9
YDR097C	15	MSH6
YDR120C	15	TRM1
YDR312W	15	SSF2
YEL015W	15	EDC3
YGR223C	15	HSV2
YHL009C	15	YAP3
YIL030C	15	SSM4
YIL038C	15	NOT3
YIL052C	15	RPL34B
YJL082W	15	IML2
YJL204C	15	RCY1
YKL121W	15	DGR2
YKR093W	15	PTR2
YKR098C	15	UBP11
YLR146C	15	SPE4
YML029W	15	USA1
YMR022W	15	UBC7
YMR264W	15	CUE1
YOL013C	15	HRD1
YOL031C	15	SIL1
YOR231W	15	MKK1
YOR284W	15	HUA2
YOR288C	15	MPD1
YOR298C-A	15	MBF1
YOR339C	15	UBC11
YPL072W	15	UBP16
YPL127C	15	HHO1
YPR054W	15	SMK1
YAL010C	14	MDM10
YAL048C	14	GEM1
YBL021C	14	HAP3
YBR238C	14	YBR238C
YCR028C-A	14	RIM1
YDL142C	14	CRD1
YDR393W	14	SHE9
YDR512C	14	EMI1
YFL036W	14	RPO41
YGL219C	14	MDM34
YGL237C	14	HAP2
YGR071C	14	ENV11
YGR101W	14	PCP1
YGR231C	14	PHB2
YHL028W	14	WSC4
YHR009C	14	TDA3
YHR189W	14	PTH1
YHR194W	14	MDM31
YIL134W	14	FLX1
YJL023C	14	PET130
YKL032C	14	IXR1
YKL053C-A	14	MDM35
YKL109W	14	HAP4
YKL208W	14	CBT1
YKR065C	14	PAM17
YLR091W	14	GEP5
YML057W	14	CMP2
YML128C	14	MSC1
YMR282C	14	AEP2
YMR285C	14	NGL2
YNL070W	14	TOM7
YNL315C	14	ATP11
YNR020C	14	ATP23
YNR041C	14	COQ2
YOL009C	14	MDM12
YOR065W	14	CYT1
YOR330C	14	MIP1
YOR358W	14	HAP5
YPL172C	14	COX10
YPR024W	14	YME1
YPR052C	14	NHP6A
YPR134W	14	MSS18
YAL007C	13	ERP2
YAL040C	13	CLN3
YAR002C-A	13	ERP1
YBR036C	13	CSG2
YBR135W	13	CKS1
YBR168W	13	PEX32
YDL056W	13	MBP1
YDL076C	13	RXT3
YDL140C	13	RPO21
YDR025W	13	RPS11A
YDR072C	13	IPT1
YDR303C	13	RSC3
YDR335W	13	MSN5
YDR404C	13	RPB7
YDR505C	13	PSP1
YER005W	13	YND1
YER019W	13	ISC1
YER089C	13	PTC2
YER111C	13	SWI4
YER167W	13	BCK2
YGL025C	13	PGD1
YGR072W	13	UPF3
YGR170W	13	PSD2
YGR197C	13	SNG1
YHR077C	13	NMD2
YIL039W	13	TED1
YJL128C	13	PBS2
YJR134C	13	SGM1
YKL073W	13	LHS1
YKL179C	13	COY1
YLL038C	13	ENT4
YLR006C	13	SSK1
YLR113W	13	HOG1
YLR177W	13	YLR177W
YLR435W	13	TSR2
YML012W	13	ERV25
YMR039C	13	SUB1
YMR070W	13	MOT3
YMR080C	13	NAM7
YMR272C	13	SCS7
YNL027W	13	CRZ1
YNL049C	13	SFB2
YNL236W	13	SIN4
YNL307C	13	MCK1
YNL325C	13	FIG4
YNR031C	13	SSK2
YOL081W	13	IRA2
YOR360C	13	PDE2
YPL057C	13	SUR1
YBL007C	12	SLA1
YBL017C	12	PEP1
YBL047C	12	EDE1
YBL061C	12	SKT5
YBR023C	12	CHS3
YBR078W	12	ECM33
YBR083W	12	TEC1
YBR108W	12	AIM3
YBR162C	12	TOS1
YBR290W	12	BSD2
YCR009C	12	RVS161
YCR088W	12	ABP1
YDL117W	12	CYK3
YDL155W	12	CLB3
YDL176W	12	YDL176W
YDR276C	12	PMP3
YDR293C	12	SSD1
YDR388W	12	RVS167
YER149C	12	PEA2
YER155C	12	BEM2
YGL228W	12	SHE10
YGL242C	12	YGL242C
YGR229C	12	SMI1
YHR030C	12	SLT2
YHR078W	12	YHR078W
YHR142W	12	CHS7
YJL095W	12	BCK1
