ORF	cluster	gene_name
YAL002W	1	VPS8
YAL007C	1	ERP2
YAL010C	1	MDM10
YAL011W	1	SWC3
YAL013W	1	DEP1
YAL019W	1	FUN30
YAL020C	1	ATS1
YAL021C	1	CCR4
YAL023C	1	PMT2
YAL024C	1	LTE1
YAL026C	1	DRS2
YAL027W	1	SAW1
YAL040C	1	CLN3
YAL042W	1	ERV46
YAL048C	1	GEM1
YAL051W	1	OAF1
YAL053W	1	FLC2
YAL055W	1	PEX22
YAR002C-A	1	ERP1
YAR002W	1	NUP60
YAR003W	1	SWD1
YAR014C	1	BUD14
YAR018C	1	KIN3
YBL007C	1	SLA1
YBL008W	1	HIR1
YBL011W	1	SCT1
YBL017C	1	PEP1
YBL021C	1	HAP3
YBL024W	1	NCL1
YBL027W	1	RPL19B
YBL032W	1	HEK2
YBL036C	1	YBL036C
YBL046W	1	PSY4
YBL047C	1	EDE1
YBL051C	1	PIN4
YBL052C	1	SAS3
YBL058W	1	SHP1
YBL061C	1	SKT5
YBL066C	1	SEF1
YBL067C	1	UBP13
YBL072C	1	RPS8A
YBL075C	1	SSA3
YBL078C	1	ATG8
YBL079W	1	NUP170
YBL081W	1	YBL081W
YBL082C	1	ALG3
YBL085W	1	BOI1
YBL086C	1	YBL086C
YBL087C	1	RPL23A
YBL088C	1	TEL1
YBL101C	1	ECM21
YBL103C	1	RTG3
YBR009C	1	HHF1
YBR010W	1	HHT1
YBR015C	1	MNN2
YBR022W	1	POA1
YBR023C	1	CHS3
YBR025C	1	OLA1
YBR031W	1	RPL4A
YBR034C	1	HMT1
YBR036C	1	CSG2
YBR041W	1	FAT1
YBR057C	1	MUM2
YBR058C	1	UBP14
YBR061C	1	TRM7
YBR065C	1	ECM2
YBR069C	1	TAT1
YBR073W	1	RDH54
YBR076W	1	ECM8
YBR078W	1	ECM33
YBR082C	1	UBC4
YBR083W	1	TEC1
YBR088C	1	POL30
YBR093C	1	PHO5
YBR094W	1	PBY1
YBR095C	1	RXT2
