ORF	cluster	gene_name
YBR088C	15	POL30
YBR156C	15	SLI15
YBR193C	15	MED8
YBR194W	15	AIM4
YBR221C	15	PDB1
YCL037C	15	SRO9
YDR126W	15	SWF1
YDR145W	15	TAF12
YDR146C	15	SWI5
YDR176W	15	NGG1
YDR313C	15	PIB1
YDR443C	15	SSN2
YEL053C	15	MAK10
YER007W	15	PAC2
YER061C	15	CEM1
YER178W	15	PDA1
YFL018C	15	LPD1
YGL029W	15	CGR1
YGL151W	15	NUT1
YGR056W	15	RSC1
YGR097W	15	ASK10
YHR067W	15	HTD2
YIL021W	15	RPB3
YIL128W	15	MET18
YJL029C	15	VPS53
YJL046W	15	AIM22
YJL081C	15	ARP4
YJL204C	15	RCY1
YJR054W	15	KCH1
YJR090C	15	GRR1
YKR101W	15	SIR1
YLR033W	15	RSC58
YLR119W	15	SRN2
YML098W	15	TAF13
YMR005W	15	TAF4
YMR236W	15	TAF9
YNL025C	15	SSN8
YNL071W	15	LAT1
YOR151C	15	RPB2
YPL024W	15	RMI1
YPL125W	15	KAP120
YPL158C	15	AIM44
YPL254W	15	HFI1
YBR132C	14	AGP2
YBR229C	14	ROT2
YBR274W	14	CHK1
YDL002C	14	NHP10
YDL033C	14	SLM3
YDL122W	14	UBP1
YDL140C	14	RPO21
YDL165W	14	CDC36
YDR092W	14	UBC13
YDR311W	14	TFB1
YEL056W	14	HAT2
YER092W	14	IES5
YER162C	14	RAD4
YFL013C	14	IES1
YGL027C	14	CWH41
YGL035C	14	MIG1
YGL087C	14	MMS2
YGL226C-A	14	OST5
YGR166W	14	TRS65
YGR186W	14	TFG1
YHR025W	14	THR1
YHR034C	14	PIH1
YIR002C	14	MPH1
YJL139C	14	YUR1
YJR011C	14	YJR011C
YJR094C	14	IME1
YKL009W	14	MRT4
YKL208W	14	CBT1
YKR062W	14	TFA2
YLR024C	14	UBR2
YLR131C	14	ACE2
YML066C	14	SMA2
YMR038C	14	CCS1
YMR100W	14	MUB1
YMR201C	14	RAD14
YMR285C	14	NGL2
YNL032W	14	SIW14
YNL278W	14	CAF120
YNL288W	14	CAF40
YNL322C	14	KRE1
YPL022W	14	RAD1
YPL089C	14	RLM1
YPL122C	14	TFB2
YPL226W	14	NEW1
YAL010C	13	MDM10
YAL026C	13	DRS2
YBR159W	13	IFA38
YBR164C	13	ARL1
YCL010C	13	SGF29
YCL032W	13	STE50
YCL045C	13	EMC1
YDL013W	13	SLX5
YDR025W	13	RPS11A
YDR049W	13	VMS1
YDR320C	13	SWA2
YDR404C	13	RPB7
YEL003W	13	GIM4
YER116C	13	SLX8
YER125W	13	RSP5
YFL033C	13	RIM15
YGL174W	13	BUD13
YGL219C	13	MDM34
YGL253W	13	HXK2
YGR072W	13	UPF3
YGR078C	13	PAC10
YHR077C	13	NMD2
YHR167W	13	THP2
YHR179W	13	OYE2
YHR203C	13	RPS4B
YIL027C	13	EMC5
YIR005W	13	IST3
YJL004C	13	SYS1
YJL090C	13	DPB11
YJL128C	13	PBS2
YJR060W	13	CBF1
YJR088C	13	EMC2
YJR145C	13	RPS4A
YKL081W	13	TEF4
YKL207W	13	EMC3
YKR010C	13	TOF2
YLR426W	13	TDA5
YML048W	13	GSF2
YML062C	13	MFT1
YML094W	13	GIM5
YMR080C	13	NAM7
YMR186W	13	HSC82
YMR205C	13	PFK2
YNL079C	13	TPM1
YNL086W	13	SNN1
YNL098C	13	RAS2
YNL106C	13	INP52
YNL135C	13	FPR1
YNL153C	13	GIM3
YNL206C	13	RTT106
YNL224C	13	SQS1
YOL009C	13	MDM12
YOR027W	13	STI1
YOR174W	13	MED4
YOR191W	13	ULS1
YOR360C	13	PDE2
YPL051W	13	ARL3
YPL069C	13	BTS1
YAL055W	12	PEX22
YBL017C	12	PEP1
YBL085W	12	BOI1
YBR009C	12	HHF1
YBR010W	12	HHT1
YBR041W	12	FAT1
YBR201W	12	DER1
YBR228W	12	SLX1
YDL052C	12	SLC1
YDL065C	12	PEX19
YDL134C	12	PPH21
YDL188C	12	PPH22
YDR004W	12	RAD57
YDR072C	12	IPT1
YDR076W	12	RAD55
YDR177W	12	UBC1
YDR217C	12	RAD9
YDR225W	12	HTA1
YDR244W	12	PEX5
YDR265W	12	PEX10
YDR279W	12	RNH202
YDR329C	12	PEX3
YER095W	12	RAD51
YER098W	12	UBP9
YER114C	12	BOI2
YER173W	12	RAD24
YFR009W	12	GCN20
YGL049C	12	TIF4632
YGL153W	12	PEX14
YGL163C	12	RAD54
YGL195W	12	GCN1
YGR077C	12	PEX8
YGR133W	12	PEX4
YGR174C	12	CBP4
YHR185C	12	PFS1
YIL039W	12	TED1
YJL098W	12	SAP185
YJL210W	12	PEX2
YJR119C	12	JHD2
YKL197C	12	PEX1
YKR055W	12	RHO4
YML032C	12	RAD52
YML102W	12	CAC2
YMR026C	12	PEX12
YMR035W	12	IMP2
YMR179W	12	SPT21
YNL031C	12	HHT2
YNL054W	12	VAC7
YNL072W	12	RNH201
YNL329C	12	PEX6
YOL044W	12	PEX15
YOR171C	12	LCB4
YOR233W	12	KIN4
YOR327C	12	SNC2
YOR358W	12	HAP5
YOR368W	12	RAD17
YPL194W	12	DDC1
YPR009W	12	SUT2
YPR018W	12	RLF2
YAL020C	11	ATS1
YAL024C	11	LTE1
YBL021C	11	HAP3
YBL079W	11	NUP170
YBR057C	11	MUM2
YBR141C	11	BMT2
YDL088C	11	ASM4
YDR005C	11	MAF1
YDR101C	11	ARX1
YDR192C	11	NUP42
YDR276C	11	PMP3
YDR297W	11	SUR2
YDR435C	11	PPM1
YDR479C	11	PEX29
YDR512C	11	EMI1
YER019W	11	ISC1
YFL027C	11	GYP8
YFR019W	11	FAB1
YFR036W	11	CDC26
YGL213C	11	SKI8
YGL237C	11	HAP2
