ORF	cluster	gene_name
YBR041W	29	FAT1
YBR272C	29	HSM3
YDL056W	29	MBP1
YDL230W	29	PTP1
YDR260C	29	SWM1
YDR359C	29	EAF1
YDR363W-A	29	SEM1
YDR422C	29	SIP1
YER123W	29	YCK3
YFL027C	29	GYP8
YGL003C	29	CDH1
YGL141W	29	HUL5
YGR086C	29	PIL1
YGR097W	29	ASK10
YGR108W	29	CLB1
YGR135W	29	PRE9
YGR284C	29	ERV29
YHR009C	29	TDA3
YIL002C	29	INP51
YIR018W	29	YAP5
YJL073W	29	JEM1
YKL112W	29	ABF1
YKL204W	29	EAP1
YKL206C	29	ADD66
YLR021W	29	IRC25
YLR102C	29	APC9
YMR036C	29	MIH1
YMR273C	29	ZDS1
YNL068C	29	FKH2
YPL144W	29	POC4
YBR065C	28	ECM2
YBR119W	28	MUD1
YCR014C	28	POL4
YDR163W	28	CWC15
YDR358W	28	GGA1
YDR482C	28	CWC21
YFR013W	28	IOC3
YGR129W	28	SYF2
YHL009C	28	YAP3
YHR086W	28	NAM8
YHR156C	28	LIN1
YHR157W	28	REC104
YIL038C	28	NOT3
YIL052C	28	RPL34B
YIL138C	28	TPM2
YIL156W	28	UBP7
YJR011C	28	YJR011C
YJR059W	28	PTK2
YKR093W	28	PTR2
YKR098C	28	UBP11
YLL001W	28	DNM1
YLR429W	28	CRN1
YML095C	28	RAD10
YML119W	28	YML119W
YMR054W	28	STV1
YNL116W	28	DMA2
YOL031C	28	SIL1
YOL065C	28	INP54
YPL196W	28	OXR1
YPR140W	28	TAZ1
YPR152C	28	URN1
YBL046W	27	PSY4
YBL067C	27	UBP13
YBR114W	27	RAD16
YBR150C	27	TBS1
YBR223C	27	TDP1
YCL014W	27	BUD3
YDL175C	27	AIR2
YDR009W	27	GAL3
YDR221W	27	GTB1
YDR409W	27	SIZ1
YEL047C	27	FRD1
YER144C	27	UBP5
YGL028C	27	SCW11
YGL161C	27	YIP5
YGR071C	27	ENV11
YHR194W	27	MDM31
YJL149W	27	DAS1
YJL198W	27	PHO90
YJR052W	27	RAD7
YKL211C	27	TRP3
YKR043C	27	SHB17
YMR119W	27	ASI1
YMR133W	27	REC114
YNL231C	27	PDR16
YOR288C	27	MPD1
YOR307C	27	SLY41
YOR339C	27	UBC11
YPL119C	27	DBP1
YPL140C	27	MKK2
YPL189W	27	GUP2
YPR129W	27	SCD6
YPR174C	27	YPR174C
YBR083W	26	TEC1
YBR108W	26	AIM3
YBR162C	26	TOS1
YBR290W	26	BSD2
YCR088W	26	ABP1
YDL002C	26	NHP10
YDL155W	26	CLB3
YDL176W	26	YDL176W
YER092W	26	IES5
YER149C	26	PEA2
YFL013C	26	IES1
YGL173C	26	XRN1
YGL228W	26	SHE10
YGL242C	26	YGL242C
YGR122W	26	YGR122W
YHL027W	26	RIM101
YHR078W	26	YHR078W
YJL187C	26	SWE1
YKL007W	26	CAP1
YLR150W	26	STM1
YMR109W	26	MYO5
YMR116C	26	ASC1
YMR154C	26	RIM13
YNL016W	26	PUB1
YNL021W	26	HDA1
YNL215W	26	IES2
YNL294C	26	RIM21
YOL003C	26	PFA4
YOL045W	26	PSK2
YOR030W	26	DFG16
YOR275C	26	RIM20
YPR075C	26	OPY2
YBR238C	25	YBR238C
YDL135C	25	RDI1
YDL142C	25	CRD1
YDR145W	25	TAF12
YDR219C	25	MFB1
YER030W	25	CHZ1
YFL036W	25	RPO41
YGL016W	25	KAP122
YGR056W	25	RSC1
YGR186W	25	TFG1
YGR231C	25	PHB2
YJL023C	25	PET130
YJL090C	25	DPB11
YJL168C	25	SET2
YJR082C	25	EAF6
YKL053C-A	25	MDM35
YKR065C	25	PAM17
YLR091W	25	GEP5
YMR005W	25	TAF4
YMR058W	25	FET3
YMR075W	25	RCO1
YMR227C	25	TAF7
YMR236W	25	TAF9
YNL278W	25	CAF120
YOL027C	25	MDM38
YOL115W	25	PAP2
YOR179C	25	SYC1
YOR297C	25	TIM18
YOR330C	25	MIP1
YPL181W	25	CTI6
YPL183C	25	RTT10
YPR023C	25	EAF3
YPR024W	25	YME1
YBR270C	24	BIT2
YDL052C	24	SLC1
YDR122W	24	KIN1
YDR125C	24	ECM18
YDR131C	24	YDR131C
YDR266C	24	HEL2
YDR294C	24	DPL1
YDR448W	24	ADA2
YER088C	24	DOT6
YFL001W	24	DEG1
YFL030W	24	AGX1
YGL067W	24	NPY1
YGL105W	24	ARC1
YGL255W	24	ZRT1
YGR170W	24	PSD2
YGR174C	24	CBP4
YGR197C	24	SNG1
YGR252W	24	GCN5
YKL073W	24	LHS1
YKR072C	24	SIS2
YLL024C	24	SSA2
YLR096W	24	KIN2
YLR177W	24	YLR177W
YML107C	24	PML39
YMR172W	24	HOT1
YNL049C	24	SFB2
YNL086W	24	SNN1
YNL309W	24	STB1
YOL020W	24	TAT2
YOR233W	24	KIN4
YOR321W	24	PMT3
YOR322C	24	LDB19
YOR342C	24	YOR342C
YPR084W	24	YPR084W
YBR106W	23	PHO88
YBR125C	23	PTC4
YBR283C	23	SSH1
YCL045C	23	EMC1
YCR020C-A	23	MAK31
YCR089W	23	FIG2
YDL223C	23	HBT1
YDL243C	23	AAD4
YDR074W	23	TPS2
YDR440W	23	DOT1
YDR479C	23	PEX29
YEL053C	23	MAK10
YGL081W	23	YGL081W
YGL110C	23	CUE3
YGL196W	23	DSD1
YGR157W	23	CHO2
YHR158C	23	KEL1
YIL027C	23	EMC5
YJR073C	23	OPI3
YJR088C	23	EMC2
YKL207W	23	EMC3
YKR042W	23	UTH1
YLR110C	23	CCW12
YMR003W	23	AIM34
YMR161W	23	HLJ1
YMR216C	23	SKY1
YNL087W	23	TCB2
YNL224C	23	SQS1
YNL299W	23	TRF5
YPL041C	23	MRX11
YPL244C	23	HUT1
YPL256C	23	CLN2
YPR030W	23	CSR2
YPR051W	23	MAK3
YBR057C	22	MUM2
YBR058C	22	UBP14
YBR088C	22	POL30
YBR228W	22	SLX1
YCL016C	22	DCC1
YCL061C	22	MRC1
YDR279W	22	RNH202
YFR010W	22	UBP6
YHR031C	22	RRM3
YHR115C	22	DMA1
YHR200W	22	RPN10
YHR206W	22	SKN7
YJL092W	22	SRS2
YJR043C	22	POL32
YJR094C	22	IME1
YKL113C	22	RAD27
YKL213C	22	DOA1
YLR079W	22	SIC1
YLR135W	22	SLX4
YLR154C	22	RNH203
YML007W	22	YAP1
YML028W	22	TSA1
YML098W	22	TAF13
YML112W	22	CTK3
YML123C	22	PHO84
YMR038C	22	CCS1
YMR048W	22	CSM3
YMR078C	22	CTF18
YNL072W	22	RNH201
YNL218W	22	MGS1
YNL273W	22	TOF1
YOR144C	22	ELG1
YPL008W	22	CHL1
YPR135W	22	CTF4
YBL024W	21	NCL1
YBL058W	21	SHP1
YBR107C	21	IML3
YDR014W	21	RAD61
YDR254W	21	CHL4
YDR318W	21	MCM21
YEL056W	21	HAT2
YEL061C	21	CIN8
YER016W	21	BIM1
YER068W	21	MOT2
YFR048W	21	RMD8
YGL086W	21	MAD1
YGL213C	21	SKI8
YGR092W	21	DBF2
YGR184C	21	UBR1
