ORF	Gene_uniq	cluster	gene_name
YAL019W	YAL019W	13	FUN30
YAL042W	YAL042W	13	ERV46
YBL075C	YBL075C	13	SSA3
YBR201W	YBR201W	13	DER1
YCR020C	YCR020C	13	PET18
YDL089W	YDL089W	13	NUR1
YDR125C	YDR125C	13	ECM18
YFL033C	YFL033C	13	RIM15
YGL131C	YGL131C	13	SNT2
YGR174C	YGR174C	13	CBP4
YGR202C	YGR202C	13	PCT1
YHL029C	YHL029C	13	OCA5
YJL055W	YJL055W	13	YJL055W
YJL197W	YJL197W	13	UBP12
YJL214W	YJL214W	13	HXT8
YJR010C-A	YJR010C-A	13	SPC1
YKL020C	YKL020C	13	SPT23
YKL120W	YKL120W	13	OAC1
YML008C	YML008C	13	ERG6
YML051W	YML051W	13	GAL80
YMR015C	YMR015C	13	ERG5
YMR029C	YMR029C	13	FAR8
YMR052W	YMR052W	13	FAR3
YMR102C	YMR102C	13	YMR102C
YMR255W	YMR255W	13	GFD1
YNL032W	YNL032W	13	SIW14
YNL236W	YNL236W	13	SIN4
YNR032W	YNR032W	13	PPG1
YOL001W	YOL001W	13	PHO80
YOL020W	YOL020W	13	TAT2
YOL062C	YOL062C	13	APM4
YOL065C	YOL065C	13	INP54
YOL108C	YOL108C	13	INO4
YOR016C	YOR016C	13	ERP4
YOR233W	YOR233W	13	KIN4
YPL001W	YPL001W	13	HAT1
YPL037C	YPL037C	13	EGD1
YBL066C	YBL066C	12	SEF1
YBR119W	YBR119W	12	MUD1
YBR126C	YBR126C	12	TPS1
YBR194W	YBR194W	12	AIM4
YCR028C-A	YCR028C-A	12	RIM1
YCR031C	YCR031C	12	RPS14A
YDR122W	YDR122W	12	KIN1
YDR219C	YDR219C	12	MFB1
YDR378C	YDR378C	12	LSM6
YDR409W	YDR409W	12	SIZ1
YDR482C	YDR482C	12	CWC21
YGL174W	YGL174W	12	BUD13
YHR156C	YHR156C	12	LIN1
YHR157W	YHR157W	12	REC104
YIL029C	YIL029C	12	YIL029C
YIL052C	YIL052C	12	RPL34B
YIR005W	YIR005W	12	IST3
YJL124C	YJL124C	12	LSM1
YJR059W	YJR059W	12	PTK2
YJR084W	YJR084W	12	YJR084W
YKL074C	YKL074C	12	MUD2
YLR096W	YLR096W	12	KIN2
YML034W	YML034W	12	SRC1
YNL147W	YNL147W	12	LSM7
YNR004W	YNR004W	12	SWM2
YOR042W	YOR042W	12	CUE5
YOR043W	YOR043W	12	WHI2
YOR308C	YOR308C	12	SNU66
YOR344C	YOR344C	12	TYE7
YPL068C	YPL068C	12	YPL068C
YPL069C	YPL069C	12	BTS1
YPL157W	YPL157W	12	TGS1
YPL184C	YPL184C	12	MRN1
YPL213W	YPL213W	12	LEA1
YPL214C	YPL214C	12	THI6
YPL226W	YPL226W	12	NEW1
YPR057W	YPR057W	12	BRR1
YPR152C	YPR152C	12	URN1
YAL023C	YAL023C	11	PMT2
YBL082C	YBL082C	11	ALG3
YBR015C	YBR015C	11	MNN2
YBR078W	YBR078W	11	ECM33
YBR171W	YBR171W	11	SEC66
YBR229C	YBR229C	11	ROT2
YCR017C	YCR017C	11	CWH43
YCR044C	YCR044C	11	PER1
YDL006W	YDL006W	11	PTC1
YDL095W	YDL095W	11	PMT1
YDR162C	YDR162C	11	NBP2
YDR245W	YDR245W	11	MNN10
YDR389W	YDR389W	11	SAC7
YDR414C	YDR414C	11	ERD1
YFL025C	YFL025C	11	BST1
YFL031W	YFL031W	11	HAC1
YGL027C	YGL027C	11	CWH41
YGL084C	YGL084C	11	GUP1
YGL203C	YGL203C	11	KEX1
YGL226C-A	YGL226C-A	11	OST5
YGR227W	YGR227W	11	DIE2
YGR229C	YGR229C	11	SMI1
YHR079C	YHR079C	11	IRE1
YJL062W	YJL062W	11	LAS21
YJL139C	YJL139C	11	YUR1
YJL183W	YJL183W	11	MNN11
YJR075W	YJR075W	11	HOC1
YJR117W	YJR117W	11	STE24
YJR118C	YJR118C	11	ILM1
YLR056W	YLR056W	11	ERG3
YLR083C	YLR083C	11	EMP70
YML012W	YML012W	11	ERV25
YMR214W	YMR214W	11	SCJ1
YMR307W	YMR307W	11	GAS1
YNL238W	YNL238W	11	KEX2
YNL322C	YNL322C	11	KRE1
YNR030W	YNR030W	11	ALG12
YOR002W	YOR002W	11	ALG6
YOR067C	YOR067C	11	ALG8
YOR085W	YOR085W	11	OST3
YOR154W	YOR154W	11	SLP1
YPL227C	YPL227C	11	ALG5
YBL085W	YBL085W	10	BOI1
YBR131W	YBR131W	10	CCZ1
YCR065W	YCR065W	10	HCM1
YDL077C	YDL077C	10	VAM6
YDL091C	YDL091C	10	UBX3
YDR059C	YDR059C	10	UBC5
YDR080W	YDR080W	10	VPS41
YDR183W	YDR183W	10	PLP1
YDR388W	YDR388W_DAMP	10	RVS167
YEL003W	YEL003W	10	GIM4
YEL003W	YEL003W_DAMP	10	GIM4
YEL061C	YEL061C	10	CIN8
YER016W	YER016W	10	BIM1
YER114C	YER114C	10	BOI2
YFR019W	YFR019W	10	FAB1
YGL124C	YGL124C	10	MON1
YGL212W	YGL212W	10	VAM7
YGL216W	YGL216W	10	KIP3
YGR058W	YGR058W	10	PEF1
YGR078C	YGR078C	10	PAC10
YHR082C	YHR082C	10	KSP1
YIL090W	YIL090W	10	ICE2
YJR052W	YJR052W	10	RAD7
YJR053W	YJR053W	10	BFA1
YKL092C	YKL092C	10	BUD2
YLL001W	YLL001W	10	DNM1
YLR429W	YLR429W	10	CRN1
YLR450W	YLR450W	10	HMG2
YML094W	YML094W	10	GIM5
YML119W	YML119W	10	YML119W
YML124C	YML124C	10	TUB3
YMR055C	YMR055C	10	BUB2
YMR138W	YMR138W	10	CIN4
YMR280C	YMR280C	10	CAT8
YNL116W	YNL116W	10	DMA2
YNL153C	YNL153C	10	GIM3
YOL068C	YOL068C	10	HST1
YOL116W	YOL116W	10	MSN1
YOR058C	YOR058C	10	ASE1
YOR106W	YOR106W	10	VAM3
YOR156C	YOR156C	10	NFI1
YOR311C	YOR311C	10	DGK1
YPL165C	YPL165C	10	SET6
YPL241C	YPL241C	10	CIN2
YPL253C	YPL253C	10	VIK1
YPL269W	YPL269W	10	KAR9
YPR119W	1_YPR119W	10	CLB2
YAL010C	YAL010C	9	MDM10
YAL048C	YAL048C	9	GEM1
YAL055W	YAL055W	9	PEX22
YBL021C	YBL021C	9	HAP3
YBR238C	YBR238C	9	YBR238C
YDL033C	YDL033C	9	SLM3
YDL065C	YDL065C	9	PEX19
YDL142C	YDL142C	9	CRD1
YDR255C	YDR255C	9	RMD5
YDR265W	YDR265W	9	PEX10
YDR329C	YDR329C	9	PEX3
YDR393W	YDR393W	9	SHE9
YDR512C	YDR512C	9	EMI1
YFL036W	YFL036W	9	RPO41
YGL153W	YGL153W	9	PEX14
YGR077C	YGR077C	9	PEX8
YGR101W	YGR101W	9	PCP1
YGR133W	YGR133W	9	PEX4
YGR231C	YGR231C	9	PHB2
YHR189W	YHR189W	9	PTH1
YHR194W	YHR194W	9	MDM31
YIL134W	YIL134W	9	FLX1
YJL210W	YJL210W	9	PEX2
YKL053C-A	YKL053C-A	9	MDM35
YKL197C	YKL197C	9	PEX1
YKL208W	YKL208W	9	CBT1
YKR065C	YKR065C	9	PAM17
YLR091W	YLR091W	9	GEP5
YLR114C	YLR114C	9	AVL9
YMR026C	YMR026C	9	PEX12
YMR035W	YMR035W	9	IMP2
YMR282C	YMR282C	9	AEP2
YNL070W	YNL070W	9	TOM7
YNL315C	YNL315C	9	ATP11
YNR020C	YNR020C	9	ATP23
YNR041C	YNR041C	9	COQ2
YOL009C	YOL009C	9	MDM12
YOL027C	YOL027C	9	MDM38
YOL044W	YOL044W	9	PEX15
YOR065W	YOR065W	9	CYT1
YOR297C	YOR297C	9	TIM18
YOR330C	YOR330C	9	MIP1
YOR358W	YOR358W	9	HAP5
YPL172C	YPL172C	9	COX10
YPL183C	YPL183C	9	RTT10
YPR024W	YPR024W	9	YME1
YPR069C	YPR069C	9	SPE3
YAL051W	YAL051W	8	OAF1
YAR014C	YAR014C	8	BUD14
YAR018C	YAR018C	8	KIN3
YBL011W	YBL011W	8	SCT1
YBL046W	YBL046W	8	PSY4
YBL072C	YBL072C	8	RPS8A
YCL033C	YCL033C	8	MXR2
YCL036W	YCL036W	8	GFD2
YDL056W	YDL056W	8	MBP1
YDL076C	YDL076C	8	RXT3
YDL117W	YDL117W	8	CYK3
YDL134C	YDL134C	8	PPH21
YDR075W	YDR075W	8	PPH3
YDR313C	YDR313C	8	PIB1
YDR395W	YDR395W	8	SXM1
YDR435C	YDR435C	8	PPM1
YDR505C	YDR505C	8	PSP1
YER167W	YER167W	8	BCK2
YGL031C	YGL031C	8	RPL24A
YGL035C	YGL035C	8	MIG1
YGL167C	YGL167C	8	PMR1
YGL168W	YGL168W	8	HUR1
YGR170W	YGR170W	8	PSD2
YHR158C	YHR158C	8	KEL1
YIL153W	YIL153W	8	RRD1
YJL098W	YJL098W	8	SAP185
YJL128C	YJL128C	8	PBS2
YJR036C	YJR036C	8	HUL4
YJR094C	YJR094C	8	IME1
YKL090W	YKL090W	8	CUE2
YKR042W	YKR042W	8	UTH1
YKR074W	YKR074W	8	AIM29
YLR006C	YLR006C	8	SSK1
YLR110C	YLR110C	8	CCW12
YLR113W	YLR113W	8	HOG1
YLR182W	YLR182W	8	SWI6
YML017W	YML017W	8	PSP2
YML035C	YML035C	8	AMD1
YML108W	YML108W	8	YML108W
YMR038C	YMR038C	8	CCS1
YMR039C	YMR039C	8	SUB1
YMR070W	YMR070W	8	MOT3
YMR073C	YMR073C	8	IRC21
YNL053W	YNL053W	8	MSG5
YNL201C	YNL201C	8	PSY2
YNL307C	YNL307C	8	MCK1
YNR031C	YNR031C	8	SSK2
YOL081W	YOL081W	8	IRA2
YOR322C	YOR322C	8	LDB19
YOR360C	YOR360C	8	PDE2
YOR371C	YOR371C	8	GPB1
YPL115C	YPL115C	8	BEM3
YPL152W	YPL152W	8	RRD2
YPR043W	YPR043W	8	RPL43A
YPR045C	YPR045C	8	THP3
YPR052C	YPR052C	8	NHP6A
YPR066W	YPR066W	8	UBA3
YPR084W	YPR084W	8	YPR084W
YPR120C	1_YPR120C	8	CLB5
YAL021C	YAL021C_DAMP	7	CCR4
YBR107C	YBR107C	7	IML3
YBR245C	YBR245C	7	ISW1
YCL016C	YCL016C	7	DCC1
YCL029C	YCL029C	7	BIK1
YCR027C	YCR027C	7	RHB1
YCR086W	YCR086W	7	CSM1
YDR014W	YDR014W	7	RAD61
YDR069C	YDR069C_DAMP	7	DOA4
YDR099W	YDR099W	7	BMH2
YDR150W	YDR150W	7	NUM1
YDR156W	YDR156W	7	RPA14
YDR174W	YDR174W	7	HMO1
YDR254W	YDR254W	7	CHL4
YDR315C	YDR315C	7	IPK1
YDR318W	YDR318W	7	MCM21
