ORF	Gene_uniq	cluster	gene_name
YBL008W	YBL008W	15	HIR1
YBL078C	YBL078C	15	ATG8
YBR076W	YBR076W	15	ECM8
YBR215W	YBR215W	15	HPC2
YBR288C	YBR288C	15	APM3
YDR121W	YDR121W	15	DPB4
YDR181C	YDR181C	15	SAS4
YDR424C	YDR424C	15	DYN2
YER161C	YER161C	15	SPT2
YGL014W	YGL014W	15	PUF4
YGL016W	YGL016W	15	KAP122
YGR184C	YGR184C	15	UBR1
YHR134W	YHR134W	15	WSS1
YHR194W	YHR194W	15	MDM31
YJL024C	YJL024C	15	APS3
YJL117W	YJL117W	15	PHO86
YJL165C	YJL165C	15	HAL5
YJR140C	YJR140C	15	HIR3
YKL160W	YKL160W	15	ELF1
YLR135W	YLR135W	15	SLX4
YLR154C	YLR154C	15	RNH203
YMR127C	YMR127C	15	SAS2
YMR201C	YMR201C	15	RAD14
YNL072W	YNL072W	15	RNH201
YNL106C	YNL106C	15	INP52
YOL116W	YOL116W	15	MSN1
YOR124C	YOR124C	15	UBP2
YPL022W	YPL022W	15	RAD1
YPL155C	YPL155C	15	KIP2
YPL195W	YPL195W	15	APL5
YAL007C	YAL007C	14	ERP2
YAL019W	YAL019W	14	FUN30
YBL066C	YBL066C	14	SEF1
YBR034C	YBR034C	14	HMT1
YBR125C	YBR125C	14	PTC4
YBR195C	YBR195C	14	MSI1
YCR027C	YCR027C	14	RHB1
YDL056W	YDL056W	14	MBP1
YDL059C	YDL059C	14	RAD59
YDR072C	YDR072C	14	IPT1
YDR255C	YDR255C	14	RMD5
YDR313C	YDR313C	14	PIB1
YDR330W	YDR330W	14	UBX5
YER068W	YER068W	14	MOT2
YER123W	YER123W	14	YCK3
YGR054W	YGR054W	14	YGR054W
YHR001W-A	YHR001W-A	14	QCR10
YHR006W	YHR006W	14	STP2
YHR078W	YHR078W	14	YHR078W
YHR082C	YHR082C	14	KSP1
YHR181W	YHR181W	14	SVP26
YJR036C	YJR036C	14	HUL4
YKR077W	YKR077W	14	MSA2
YLR006C	YLR006C	14	SSK1
YLR180W	YLR180W	14	SAM1
YLR181C	YLR181C	14	VTA1
YNL049C	YNL049C	14	SFB2
YNL270C	YNL270C	14	ALP1
YPL138C	YPL138C	14	SPP1
YPL139C	YPL139C	14	UME1
YPL150W	YPL150W	14	YPL150W
YBL017C	YBL017C	13	PEP1
YBL081W	YBL081W	13	YBL081W
YBR290W	YBR290W	13	BSD2
YCL045C	YCL045C	13	EMC1
YDL070W	YDL070W	13	BDF2
YDL170W	YDL170W	13	UGA3
YDR099W	YDR099W	13	BMH2
YDR219C	YDR219C	13	MFB1
YDR422C	YDR422C	13	SIP1
YER075C	YER075C	13	PTP3
YHL003C	YHL003C	13	LAG1
YIL112W	YIL112W	13	HOS4
YJR070C	YJR070C	13	LIA1
YJR082C	YJR082C	13	EAF6
YJR088C	YJR088C	13	EMC2
YKL149C	YKL149C	13	DBR1
YKL185W	YKL185W	13	ASH1
YKR072C	YKR072C	13	SIS2
YKR074W	YKR074W	13	AIM29
YLR131C	YLR131C	13	ACE2
YML107C	YML107C	13	PML39
YMR010W	YMR010W	13	YMR010W
YNL292W	YNL292W	13	PUS4
YOL027C	YOL027C	13	MDM38
YOL093W	YOL093W	13	TRM10
YOR064C	YOR064C	13	YNG1
YOR179C	YOR179C	13	SYC1
YOR322C	YOR322C	13	LDB19
YPL183C	YPL183C	13	RTT10
YPL184C	YPL184C	13	MRN1
YPL212C	YPL212C	13	PUS1
YPR031W	YPR031W	13	NTO1
YPR065W	YPR065W	13	ROX1
YPR084W	YPR084W	13	YPR084W
YBR036C	YBR036C	12	CSG2
YBR126C	YBR126C	12	TPS1
YCR063W	YCR063W	12	BUD31
YDR128W	YDR128W	12	MTC5
YGL174W	YGL174W	12	BUD13
YGL211W	YGL211W	12	NCS6
YGR200C	YGR200C	12	ELP2
YHL020C	YHL020C	12	OPI1
YHR111W	YHR111W	12	UBA4
YHR187W	YHR187W	12	IKI1
YIL008W	YIL008W	12	URM1
YIR005W	YIR005W	12	IST3
YKL110C	YKL110C	12	KTI12
YKL176C	YKL176C	12	LST4
YKR007W	YKR007W	12	MEH1
YKR030W	YKR030W	12	GMH1
YLR182W	YLR182W	12	SWI6
YLR436C	YLR436C	12	ECM30
YML121W	YML121W	12	GTR1
YMR274C	YMR274C	12	RCE1
YMR292W	YMR292W	12	GOT1
YMR304W	YMR304W	12	UBP15
YMR312W	YMR312W	12	ELP6
YNL064C	YNL064C	12	YDJ1
YNL119W	YNL119W	12	NCS2
YOR308C	YOR308C	12	SNU66
YPL057C	YPL057C	12	SUR1
YPL069C	YPL069C	12	BTS1
YPL086C	YPL086C	12	ELP3
YPL101W	YPL101W	12	ELP4
YPL157W	YPL157W	12	TGS1
YPL213W	YPL213W	12	LEA1
YPR051W	YPR051W	12	MAK3
YPR057W	YPR057W	12	BRR1
YAL021C	YAL021C	11	CCR4
YAL048C	YAL048C	11	GEM1
YBL051C	YBL051C	11	PIN4
YBR031W	YBR031W	11	RPL4A
YBR168W	YBR168W	11	PEX32
YBR291C	YBR291C	11	CTP1
YCR017C	YCR017C	11	CWH43
YCR031C	YCR031C	11	RPS14A
YDL243C	YDL243C	11	AAD4
YDR073W	YDR073W	11	SNF11
YDR092W	YDR092W	11	UBC13
YFR031C-A	YFR031C-A	11	RPL2A
YFR040W	YFR040W	11	SAP155
YGL031C	YGL031C	11	RPL24A
YGL087C	YGL087C	11	MMS2
YGL110C	YGL110C	11	CUE3
YGR037C	YGR037C	11	ACB1
YGR134W	YGR134W	11	CAF130
YGR202C	YGR202C	11	PCT1
YGR214W	YGR214W	11	RPS0A
YHL002W	YHL002W	11	HSE1
YHR034C	YHR034C	11	PIH1
YHR158C	YHR158C	11	KEL1
YIL035C	YIL035C	11	CKA1
YIL110W	YIL110W	11	HPM1
YJR125C	YJR125C	11	ENT3
YKL166C	YKL166C	11	TPK3
YKR059W	YKR059W	11	TIF1
YLR401C	YLR401C	11	DUS3
YMR039C	YMR039C	11	SUB1
YMR070W	YMR070W	11	MOT3
YMR205C	YMR205C	11	PFK2
YMR230W	YMR230W	11	RPS10B
YNL044W	YNL044W	11	YIP3
YNL070W	YNL070W	11	TOM7
YOL061W	YOL061W	11	PRS5
YOR112W	YOR112W	11	CEX1
YOR156C	YOR156C	11	NFI1
YAL021C	YAL021C_DAMP	10	CCR4
YBR022W	YBR022W	10	POA1
YBR093C	YBR093C	10	PHO5
YBR108W	YBR108W	10	AIM3
YBR272C	YBR272C	10	HSM3
YCL008C	YCL008C	10	STP22
YCR089W	YCR089W	10	FIG2
YDL093W	YDL093W	10	PMT5
YDL125C	YDL125C	10	HNT1
YDL167C	YDL167C	10	NRP1
YDL176W	YDL176W	10	YDL176W
YDL213C	YDL213C	10	NOP6
YDL223C	YDL223C	10	HBT1
YDR009W	YDR009W	10	GAL3
YDR059C	YDR059C	10	UBC5
YDR069C	YDR069C_DAMP	10	DOA4
YDR221W	YDR221W	10	GTB1
YDR233C	YDR233C	10	RTN1
