ORF	Gene_uniq	cluster	gene_name
YAL021C	YAL021C	17	CCR4
YBL085W	YBL085W	17	BOI1
YBL101C	YBL101C	17	ECM21
YDL125C	YDL125C	17	HNT1
YDR126W	YDR126W	17	SWF1
YDR496C	YDR496C	17	PUF6
YDR505C	YDR505C	17	PSP1
YFR036W	YFR036W_TSQ91	17	CDC26
YGR085C	YGR085C	17	RPL11B
YIL079C	YIL079C	17	AIR1
YIR003W	YIR003W	17	AIM21
YJL020C	YJL020C	17	BBC1
YJL055W	YJL055W	17	YJL055W
YJL098W	YJL098W	17	SAP185
YJL214W	YJL214W	17	HXT8
YKL079W	YKL079W	17	SMY1
YKL092C	YKL092C	17	BUD2
YKL101W	YKL101W	17	HSL1
YKR100C	YKR100C	17	SKG1
YLL021W	YLL021W	17	SPA2
YLR102C	YLR102C	17	APC9
YLR452C	YLR452C	17	SST2
YML017W	YML017W	17	PSP2
YMR039C	YMR039C	17	SUB1
YMR070W	YMR070W	17	MOT3
YMR092C	YMR092C	17	AIP1
YNL068C	YNL068C	17	FKH2
YPL001W	YPL001W	17	HAT1
YPR022C	YPR022C	17	YPR022C
YPR032W	YPR032W	17	SRO7
YPR043W	YPR043W	17	RPL43A
YPR045C	YPR045C	17	THP3
YPR119W	2_YPR119W	17	CLB2
YBR150C	YBR150C	16	TBS1
YBR290W	YBR290W	16	BSD2
YCR088W	YCR088W	16	ABP1
YDL167C	YDL167C	16	NRP1
YDL176W	YDL176W	16	YDL176W
YDL185W	YDL185W	16	VMA1
YDL213C	YDL213C	16	NOP6
YDR005C	YDR005C	16	MAF1
YDR155C	YDR155C	16	CPR1
YER068W	YER068W	16	MOT2
YFL031W	YFL031W	16	HAC1
YGL226C-A	YGL226C-A	16	OST5
YGL242C	YGL242C	16	YGL242C
YGL253W	YGL253W	16	HXK2
YGR105W	YGR105W	16	VMA21
YGR123C	YGR123C	16	PPT1
YHR079C	YHR079C	16	IRE1
YIL036W	YIL036W	16	CST6
YIR002C	YIR002C	16	MPH1
YJL197W	YJL197W	16	UBP12
YKL007W	YKL007W	16	CAP1
YKL081W	YKL081W	16	TEF4
YLR180W	YLR180W	16	SAM1
YML048W	YML048W	16	GSF2
YML067C	YML067C	16	ERV41
YMR109W	YMR109W	16	MYO5
YMR123W	YMR123W	16	PKR1
YMR176W	YMR176W	16	ECM5
YNL106C	YNL106C	16	INP52
YOL049W	YOL049W	16	GSH2
YOR085W	YOR085W	16	OST3
YPL116W	YPL116W	16	HOS3
YPL189W	YPL189W	16	GUP2
YPR066W	YPR066W	16	UBA3
YPR129W	YPR129W	16	SCD6
YBR181C	YBR181C	15	RPS6B
YCR089W	YCR089W	15	FIG2
YDL061C	YDL061C	15	RPS29B
YDL083C	YDL083C	15	RPS16B
YDL170W	YDL170W	15	UGA3
YDL224C	YDL224C	15	WHI4
YDR083W	YDR083W	15	RRP8
YDR125C	YDR125C	15	ECM18
YER002W	YER002W	15	NOP16
YGL078C	YGL078C	15	DBP3
YGL110C	YGL110C	15	CUE3
YHR021C	YHR021C	15	RPS27B
YHR066W	YHR066W	15	SSF1
YHR081W	YHR081W	15	LRP1
YHR082C	YHR082C	15	KSP1
YHR203C	YHR203C	15	RPS4B
YIL110W	YIL110W	15	HPM1
YJL103C	YJL103C	15	GSM1
YJL136C	YJL136C	15	RPS21B
