cluster	ORF	gene_name
rRNA processing	YBL072C	RPS8A
rRNA processing	YBR181C	RPS6B
rRNA processing	YCR031C	RPS14A
rRNA processing	YDL083C	RPS16B
rRNA processing	YDL136W	RPL35B
rRNA processing	YDL191W	RPL35A
rRNA processing	YDR025W	RPS11A
rRNA processing	YDR083W	RRP8
rRNA processing	YDR378C	LSM6
rRNA processing	YGL029W	CGR1
rRNA processing	YGL078C	DBP3
rRNA processing	YGL173C	XRN1
rRNA processing	YGR081C	SLX9
rRNA processing	YGR118W	RPS23A
rRNA processing	YGR214W	RPS0A
rRNA processing	YHL025W	SNF6
rRNA processing	YHL033C	RPL8A
rRNA processing	YHR021C	RPS27B
rRNA processing	YHR034C	PIH1
rRNA processing	YHR066W	SSF1
rRNA processing	YHR081W	LRP1
rRNA processing	YJL136C	RPS21B
rRNA processing	YJL177W	RPL17B
rRNA processing	YKL009W	MRT4
rRNA processing	YKR024C	DBP7
rRNA processing	YLL045C	RPL8B
rRNA processing	YLR435W	TSR2
rRNA processing	YML063W	RPS1B
rRNA processing	YMR143W	RPS16A
rRNA processing	YMR285C	NGL2
rRNA processing	YNL147W	LSM7
rRNA processing	YNL224C	SQS1
rRNA processing	YNL227C	JJJ1
rRNA processing	YOL041C	NOP12
rRNA processing	YOL080C	REX4
rRNA processing	YOR001W	RRP6
rRNA processing	YOR006C	TSR3
rRNA processing	YOR078W	BUD21
rRNA processing	YOR243C	PUS7
rRNA processing	YOR308C	SNU66
rRNA processing	YPL090C	RPS6A
ribosomal small subunit biogenesis	YAL026C	DRS2
ribosomal small subunit biogenesis	YBL072C	RPS8A
ribosomal small subunit biogenesis	YBR181C	RPS6B
ribosomal small subunit biogenesis	YCR031C	RPS14A
ribosomal small subunit biogenesis	YDL083C	RPS16B
ribosomal small subunit biogenesis	YDL213C	NOP6
ribosomal small subunit biogenesis	YDR025W	RPS11A
ribosomal small subunit biogenesis	YDR159W	SAC3
ribosomal small subunit biogenesis	YDR378C	LSM6
ribosomal small subunit biogenesis	YGR081C	SLX9
ribosomal small subunit biogenesis	YGR118W	RPS23A
ribosomal small subunit biogenesis	YGR214W	RPS0A
ribosomal small subunit biogenesis	YHR021C	RPS27B
ribosomal small subunit biogenesis	YJL136C	RPS21B
ribosomal small subunit biogenesis	YLR435W	TSR2
ribosomal small subunit biogenesis	YML063W	RPS1B
ribosomal small subunit biogenesis	YMR143W	RPS16A
ribosomal small subunit biogenesis	YMR269W	TMA23
ribosomal small subunit biogenesis	YNL147W	LSM7
ribosomal small subunit biogenesis	YNL224C	SQS1
ribosomal small subunit biogenesis	YNL302C	RPS19B
ribosomal small subunit biogenesis	YOR006C	TSR3
ribosomal small subunit biogenesis	YOR078W	BUD21
ribosomal small subunit biogenesis	YPL090C	RPS6A
ribosomal small subunit biogenesis	YPL226W	NEW1
ribosomal small subunit biogenesis	YPL239W	YAR1
transcription from RNA polymerase II promoter	YAL013W	DEP1
transcription from RNA polymerase II promoter	YAL019W	FUN30
transcription from RNA polymerase II promoter	YAL021C	CCR4
transcription from RNA polymerase II promoter	YAL051W	OAF1
transcription from RNA polymerase II promoter	YBL008W	HIR1
transcription from RNA polymerase II promoter	YBL021C	HAP3
transcription from RNA polymerase II promoter	YBL103C	RTG3
transcription from RNA polymerase II promoter	YBR009C	HHF1
transcription from RNA polymerase II promoter	YBR034C	HMT1
transcription from RNA polymerase II promoter	YBR083W	TEC1
transcription from RNA polymerase II promoter	YBR095C	RXT2
transcription from RNA polymerase II promoter	YBR215W	HPC2
transcription from RNA polymerase II promoter	YBR245C	ISW1
transcription from RNA polymerase II promoter	YBR289W	SNF5
transcription from RNA polymerase II promoter	YCL010C	SGF29
transcription from RNA polymerase II promoter	YCR065W	HCM1
transcription from RNA polymerase II promoter	YDL020C	RPN4
transcription from RNA polymerase II promoter	YDL074C	BRE1
transcription from RNA polymerase II promoter	YDL080C	THI3
transcription from RNA polymerase II promoter	YDL170W	UGA3
transcription from RNA polymerase II promoter	YDR005C	MAF1
transcription from RNA polymerase II promoter	YDR009W	GAL3
transcription from RNA polymerase II promoter	YDR073W	SNF11
transcription from RNA polymerase II promoter	YDR096W	GIS1
transcription from RNA polymerase II promoter	YDR173C	ARG82
transcription from RNA polymerase II promoter	YDR174W	HMO1
transcription from RNA polymerase II promoter	YDR183W	PLP1
transcription from RNA polymerase II promoter	YDR207C	UME6
transcription from RNA polymerase II promoter	YDR217C	RAD9
transcription from RNA polymerase II promoter	YDR225W	HTA1
transcription from RNA polymerase II promoter	YDR310C	SUM1
transcription from RNA polymerase II promoter	YDR392W	SPT3
transcription from RNA polymerase II promoter	YDR421W	ARO80
transcription from RNA polymerase II promoter	YDR423C	CAD1
transcription from RNA polymerase II promoter	YDR443C	SSN2
transcription from RNA polymerase II promoter	YDR448W	ADA2
transcription from RNA polymerase II promoter	YDR451C	YHP1
transcription from RNA polymerase II promoter	YDR463W	STP1
transcription from RNA polymerase II promoter	YDR512C	EMI1
transcription from RNA polymerase II promoter	YEL037C	RAD23
transcription from RNA polymerase II promoter	YER051W	JHD1
transcription from RNA polymerase II promoter	YER068W	MOT2
transcription from RNA polymerase II promoter	YER088C	DOT6
transcription from RNA polymerase II promoter	YER111C	SWI4
transcription from RNA polymerase II promoter	YER139C	RTR1
transcription from RNA polymerase II promoter	YER161C	SPT2
transcription from RNA polymerase II promoter	YER162C	RAD4
transcription from RNA polymerase II promoter	YER164W	CHD1
transcription from RNA polymerase II promoter	YER177W	BMH1
transcription from RNA polymerase II promoter	YFL031W	HAC1
transcription from RNA polymerase II promoter	YFL049W	SWP82
transcription from RNA polymerase II promoter	YGL025C	PGD1
transcription from RNA polymerase II promoter	YGL035C	MIG1
transcription from RNA polymerase II promoter	YGL043W	DST1
transcription from RNA polymerase II promoter	YGL058W	RAD6
transcription from RNA polymerase II promoter	YGL066W	SGF73
transcription from RNA polymerase II promoter	YGL115W	SNF4
transcription from RNA polymerase II promoter	YGL127C	SOH1
transcription from RNA polymerase II promoter	YGL131C	SNT2
transcription from RNA polymerase II promoter	YGL133W	ITC1
transcription from RNA polymerase II promoter	YGL151W	NUT1
transcription from RNA polymerase II promoter	YGL173C	XRN1
transcription from RNA polymerase II promoter	YGL237C	HAP2
transcription from RNA polymerase II promoter	YGL244W	RTF1
transcription from RNA polymerase II promoter	YGL252C	RTG2
