ORF	term
YDL007W	19/22S regulator
YDL097C	19/22S regulator
YDL147W	19/22S regulator
YDR363W-A	19/22S regulator
YDR394W	19/22S regulator
YDR427W	19/22S regulator
YER021W	19/22S regulator
YFR004W	19/22S regulator
YFR010W	19/22S regulator
YFR052W	19/22S regulator
YGL048C	19/22S regulator
YGR232W	19/22S regulator
YHL030W	19/22S regulator
YHR027C	19/22S regulator
YHR200W	19/22S regulator
YIL075C	19/22S regulator
YKL145W	19/22S regulator
YLR421C	19/22S regulator
YOR117W	19/22S regulator
YOR259C	19/22S regulator
YOR261C	19/22S regulator
YPR108W	19/22S regulator
YBL041W	20S proteasome
YER012W	20S proteasome
YER094C	20S proteasome
YFR050C	20S proteasome
YGL011C	20S proteasome
YGR135W	20S proteasome
YGR253C	20S proteasome
YJL001W	20S proteasome
YML092C	20S proteasome
YMR314W	20S proteasome
YOL038W	20S proteasome
YOR157C	20S proteasome
YOR362C	20S proteasome
YPR103W	20S proteasome
YBR068C	amino acid transport
YBR069C	amino acid transport
YBR147W	amino acid transport
YBR293W	amino acid transport
YCL025C	amino acid transport
YCL038C	amino acid transport
YCL069W	amino acid transport
YCR027C	amino acid transport
YCR075C	amino acid transport
YDL119C	amino acid transport
YDL210W	amino acid transport
YDR046C	amino acid transport
YDR352W	amino acid transport
YDR508C	amino acid transport
YEL062W	amino acid transport
YEL063C	amino acid transport
YER119C	amino acid transport
YFL010W-A	amino acid transport
YFL055W	amino acid transport
YGR055W	amino acid transport
YGR142W	amino acid transport
YGR191W	amino acid transport
YHL036W	amino acid transport
YIL088C	amino acid transport
YJL059W	amino acid transport
YJR001W	amino acid transport
YKL146W	amino acid transport
YKR039W	amino acid transport
YKR105C	amino acid transport
YLL055W	amino acid transport
YMR088C	amino acid transport
YNL065W	amino acid transport
YNL101W	amino acid transport
YNL268W	amino acid transport
YNL270C	amino acid transport
YOL020W	amino acid transport
YOL092W	amino acid transport
YOR130C	amino acid transport
YOR348C	amino acid transport
YPL265W	amino acid transport
YPR021C	amino acid transport
YPR058W	amino acid transport
YBL084C	anaphase-promoting complex
YDL008W	anaphase-promoting complex
YDR118W	anaphase-promoting complex
YDR260C	anaphase-promoting complex
YFR036W	anaphase-promoting complex
YGL003C	anaphase-promoting complex
YGL116W	anaphase-promoting complex
YGL240W	anaphase-promoting complex
YHR166C	anaphase-promoting complex
YIR025W	anaphase-promoting complex
YKL022C	anaphase-promoting complex
YLR102C	anaphase-promoting complex
YLR127C	anaphase-promoting complex
YNL172W	anaphase-promoting complex
YOR249C	anaphase-promoting complex
YBR234C	Arp2/3 protein complex
YDL029W	Arp2/3 protein complex
YIL062C	Arp2/3 protein complex
YJR065C	Arp2/3 protein complex
YKL013C	Arp2/3 protein complex
YLR370C	Arp2/3 protein complex
YNR035C	Arp2/3 protein complex
YAL016W	budding
YAL016W	budding
YAL018C	budding
YAL020C	budding
YAL024C	budding
YAL024C	budding
YAL029C	budding
YAL030W	budding
YAL041W	budding
YAL041W	budding
YAL047C	budding
YAL056W	budding
YAL068C	budding
YAR007C	budding
YAR014C	budding
YAR019C	budding
YAR019C	budding
YBL007C	budding
YBL009W	budding
YBL031W	budding
YBL031W	budding
YBL037W	budding
YBL047C	budding
YBL058W	budding
YBL060W	budding
YBL061C	budding
YBL063W	budding
YBL085W	budding
YBL085W	budding
YBL097W	budding
YBL105C	budding
YBL106C	budding
YBR007C	budding
YBR009C	budding
YBR010W	budding
YBR016W	budding
YBR017C	budding
YBR017C	budding
YBR023C	budding
YBR023C	budding
YBR038W	budding
YBR043C	budding
YBR045C	budding
YBR054W	budding
YBR057C	budding
YBR059C	budding
YBR071W	budding
YBR073W	budding
YBR086C	budding
YBR088C	budding
YBR098W	budding
YBR102C	budding
YBR103W	budding
YBR107C	budding
YBR107C	budding
YBR109C	budding
YBR109C	budding
YBR130C	budding
YBR133C	budding
YBR136W	budding
YBR148W	budding
YBR158W	budding
YBR158W	budding
YBR160W	budding
YBR160W	budding
YBR160W	budding
YBR170C	budding
YBR175W	budding
YBR180W	budding
YBR186W	budding
YBR200W	budding
YBR210W	budding
YBR250W	budding
YBR260C	budding
YBR267W	budding
YBR273C	budding
YCL014W	budding
YCL014W	budding
YCL016C	budding
YCL024W	budding
YCL024W	budding
YCL029C	budding
YCL048W	budding
YCL051W	budding
YCL055W	budding
YCL061C	budding
YCR002C	budding
YCR002C	budding
YCR002C	budding
YCR017C	budding
YCR030C	budding
YCR038C	budding
YCR038C	budding
YCR045C	budding
YCR086W	budding
YCR092C	budding
YDL003W	budding
YDL012C	budding
YDL017W	budding
YDL019C	budding
YDL028C	budding
YDL029W	budding
YDL064W	budding
