ORF	term
YAL016W	budding
YAL016W	budding
YAL018C	budding
YAL020C	budding
YAL024C	budding
YAL024C	budding
YAL029C	budding
YAL030W	budding
YAL041W	budding
YAL041W	budding
YAL047C	budding
YAL056W	budding
YAL068C	budding
YAR007C	budding
YAR014C	budding
YAR019C	budding
YAR019C	budding
YBL007C	budding
YBL009W	budding
YBL031W	budding
YBL031W	budding
YBL037W	budding
YBL047C	budding
YBL058W	budding
YBL060W	budding
YBL061C	budding
YBL063W	budding
YBL085W	budding
YBL085W	budding
YBL097W	budding
YBL105C	budding
YBL106C	budding
YBR007C	budding
YBR009C	budding
YBR010W	budding
YBR016W	budding
YBR017C	budding
YBR017C	budding
YBR023C	budding
YBR023C	budding
YBR038W	budding
YBR043C	budding
YBR045C	budding
YBR054W	budding
YBR057C	budding
YBR059C	budding
YBR071W	budding
YBR073W	budding
YBR086C	budding
YBR088C	budding
YBR098W	budding
YBR102C	budding
YBR103W	budding
YBR107C	budding
YBR107C	budding
YBR109C	budding
YBR109C	budding
YBR130C	budding
YBR133C	budding
YBR136W	budding
YBR148W	budding
YBR158W	budding
YBR158W	budding
YBR160W	budding
YBR160W	budding
YBR160W	budding
YBR170C	budding
YBR175W	budding
YBR180W	budding
YBR186W	budding
YBR200W	budding
YBR210W	budding
YBR250W	budding
YBR260C	budding
YBR267W	budding
YBR273C	budding
YCL014W	budding
YCL014W	budding
YCL016C	budding
YCL024W	budding
YCL024W	budding
YCL029C	budding
YCL048W	budding
YCL051W	budding
YCL055W	budding
YCL061C	budding
YCR002C	budding
YCR002C	budding
YCR002C	budding
YCR017C	budding
YCR030C	budding
YCR038C	budding
YCR038C	budding
YCR045C	budding
YCR086W	budding
YCR092C	budding
YDL003W	budding
YDL012C	budding
YDL017W	budding
YDL019C	budding
YDL028C	budding
YDL029W	budding
YDL064W	budding
YDL074C	budding
YDL089W	budding
YDL117W	budding
YDL126C	budding
YDL127W	budding
YDL134C	budding
YDL134C	budding
YDL135C	budding
YDL146W	budding
YDL151C	budding
YDL154W	budding
YDL155W	budding
YDL161W	budding
YDL179W	budding
YDL188C	budding
YDL188C	budding
YDL194W	budding
YDL222C	budding
YDL225W	budding
YDL225W	budding
YDL239C	budding
YDL240W	budding
YDR004W	budding
YDR014W	budding
YDR014W-A	budding
YDR027C	budding
YDR052C	budding
YDR075W	budding
YDR076W	budding
YDR093W	budding
YDR097C	budding
YDR099W	budding
YDR104C	budding
YDR106W	budding
YDR108W	budding
YDR113C	budding
YDR126W	budding
YDR129C	budding
YDR130C	budding
YDR146C	budding
YDR150W	budding
YDR150W	budding
YDR155C	budding
YDR155C	budding
YDR159W	budding
YDR164C	budding
YDR166C	budding
YDR180W	budding
YDR184C	budding
YDR207C	budding
YDR208W	budding
YDR218C	budding
YDR251W	budding
YDR254W	budding
YDR260C	budding
YDR260C	budding
YDR273W	budding
YDR285W	budding
YDR293C	budding
YDR309C	budding
YDR309C	budding
YDR318W	budding
YDR325W	budding
YDR328C	budding
YDR348C	budding
YDR356W	budding
YDR363W	budding
YDR369C	budding
YDR369C	budding
YDR371W	budding
YDR379W	budding
YDR386W	budding
YDR402C	budding
YDR403W	budding
YDR419W	budding
YDR439W	budding
YDR440W	budding
YDR446W	budding
YDR457W	budding
YDR506C	budding
YDR507C	budding
YDR507C	budding
YDR508C	budding
YDR512C	budding
YDR516C	budding
YDR522C	budding
YDR523C	budding
YEL040W	budding
YEL060C	budding
YEL061C	budding
YER008C	budding
YER016W	budding
YER020W	budding
YER032W	budding
YER033C	budding
YER044C-A	budding
YER046W	budding
YER075C	budding
YER095W	budding
YER096W	budding
YER106W	budding
YER114C	budding
YER114C	budding
YER115C	budding
YER118C	budding
YER120W	budding
YER124C	budding
YER125W	budding
YER132C	budding
YER133W	budding
YER133W	budding
YER133W	budding
YER133W	budding
YER144C	budding
YER147C	budding
YER149C	budding
YER149C	budding
YER155C	budding
YER166W	budding
YER173W	budding
YER177W	budding
YER177W	budding
YER179W	budding
YER180C	budding
YFL003C	budding
YFL005W	budding
YFL005W	budding
YFL008W	budding
YFL009W	budding
YFL029C	budding
YFL033C	budding
YFL034C-B	budding
YFL034C-B	budding
YFL037W	budding
YFL039C	budding
YFL039C	budding
YFL039C	budding
YFL047W	budding
YFR003C	budding
YFR004W	budding
YFR016C	budding
YFR024C-A	budding
YFR027W	budding
YFR028C	budding
YFR031C	budding
YFR039C	budding
YGL003C	budding
YGL021W	budding
YGL033W	budding
YGL045W	budding
YGL054C	budding
YGL054C	budding
YGL058W	budding
YGL060W	budding
YGL071W	budding
YGL086W	budding
YGL093W	budding
YGL099W	budding
YGL106W	budding
YGL116W	budding
YGL127C	budding
YGL158W	budding
YGL170C	budding
YGL175C	budding
YGL181W	budding
YGL183C	budding
YGL190C	budding
YGL190C	budding
YGL192W	budding
YGL194C	budding
YGL197W	budding
YGL210W	budding
YGL213C	budding
YGL216W	budding
YGL228W	budding
YGL233W	budding
YGL249W	budding
YGL250W	budding
YGL251C	budding
YGR009C	budding
YGR032W	budding
YGR032W	budding
YGR040W	budding
YGR041W	budding
YGR044C	budding
YGR056W	budding
YGR058W	budding
YGR058W	budding
YGR059W	budding
YGR092W	budding
YGR092W	budding
YGR098C	budding
YGR108W	budding
YGR140W	budding
YGR152C	budding
YGR152C	budding
YGR188C	budding
YGR221C	budding
YGR221C	budding
YGR225W	budding
YGR225W	budding
YGR229C	budding
YGR230W	budding
YGR238C	budding
YGR238C	budding
YGR241C	budding
YHL007C	budding
YHL007C	budding
YHL022C	budding
YHL023C	budding
YHL024W	budding
YHL024W	budding
YHL027W	budding
YHL027W	budding
YHR014W	budding
YHR023W	budding
YHR030C	budding
YHR039C	budding
YHR061C	budding
YHR061C	budding
YHR079C-A	budding
YHR102W	budding
YHR102W	budding
YHR107C	budding
YHR111W	budding
YHR114W	budding
YHR115C	budding
