ORF	Gene	gene_set	set_label
YDR448W	ADA2	ADA	gene set picked by clustering raw S-scores
YGR252W	GCN5	ADA	gene set picked by clustering raw S-scores
YDR176W	NGG1	ADA	gene set picked by clustering raw S-scores
YBR164C	ARL1	Arl GTPases	gene set picked by clustering raw S-scores
YPL051W	ARL3	Arl GTPases	gene set picked by clustering raw S-scores
YOR308C	SNU66	Arl GTPases	gene set picked by clustering raw S-scores
YJL004C	SYS1	Arl GTPases	gene set picked by clustering raw S-scores
YHR129C	ARP1	Dynactin	gene set picked by clustering raw S-scores
YMR299C	DYN3	Dynactin	gene set picked by clustering raw S-scores
YMR294W	JNM1	Dynactin	gene set picked by clustering raw S-scores
YLL049W	LDB18	Dynactin	gene set picked by clustering raw S-scores
YPL174C	NIP100	Dynactin	gene set picked by clustering raw S-scores
YDR150W	NUM1	Dynactin	gene set picked by clustering raw S-scores
YDR488C	PAC11	Dynactin	gene set picked by clustering raw S-scores
YLR085C	ARP6	SWR1	gene set picked by clustering raw S-scores
YOL012C	HTZ1	SWR1	gene set picked by clustering raw S-scores
YAL011W	SWC3	SWR1	gene set picked by clustering raw S-scores
YDR334W	SWR1	SWR1	gene set picked by clustering raw S-scores
YML041C	VPS71	SWR1	gene set picked by clustering raw S-scores
YDR485C	VPS72	SWR1	gene set picked by clustering raw S-scores
YKL005C	BYE1	Peroxins	gene set picked by clustering raw S-scores
YJR125C	ENT3	Peroxins	gene set picked by clustering raw S-scores
YMR307W	GAS1	Peroxins	gene set picked by clustering raw S-scores
YLR095C	IOC2	Peroxins	gene set picked by clustering raw S-scores
YKL197C	PEX1	Peroxins	gene set picked by clustering raw S-scores
YMR026C	PEX12	Peroxins	gene set picked by clustering raw S-scores
YGL153W	PEX14	Peroxins	gene set picked by clustering raw S-scores
YDL065C	PEX19	Peroxins	gene set picked by clustering raw S-scores
YDR329C	PEX3	Peroxins	gene set picked by clustering raw S-scores
YNL329C	PEX6	Peroxins	gene set picked by clustering raw S-scores
YDL052C	SLC1	Peroxins	gene set picked by clustering raw S-scores
YFR036W	CDC26	APC	gene set picked by clustering raw S-scores
YPL008W	CHL1	APC	gene set picked by clustering raw S-scores
YDR260C	SWM1	APC	gene set picked by clustering raw S-scores
YDR254W	CHL4	Cell Cycle Checkpoint	gene set picked by clustering raw S-scores
YPL018W	CTF19	Cell Cycle Checkpoint	gene set picked by clustering raw S-scores
YBR107C	IML3	Cell Cycle Checkpoint	gene set picked by clustering raw S-scores
YPL017C	IRC15	Cell Cycle Checkpoint	gene set picked by clustering raw S-scores
YGL086W	MAD1	Cell Cycle Checkpoint	gene set picked by clustering raw S-scores
YJL030W	MAD2	Cell Cycle Checkpoint	gene set picked by clustering raw S-scores
YJL013C	MAD3	Cell Cycle Checkpoint	gene set picked by clustering raw S-scores
YPR046W	MCM16	Cell Cycle Checkpoint	gene set picked by clustering raw S-scores
YDR318W	MCM21	Cell Cycle Checkpoint	gene set picked by clustering raw S-scores
YJR135C	MCM22	Cell Cycle Checkpoint	gene set picked by clustering raw S-scores
YDR383C	NKP1	Cell Cycle Checkpoint	gene set picked by clustering raw S-scores
YPL024W	RMI1	Cell Cycle Checkpoint	gene set picked by clustering raw S-scores
YOR303W	CPA1	RIM101	gene set picked by clustering raw S-scores
YDL115C	IWR1	RIM101	gene set picked by clustering raw S-scores
YHL027W	RIM101	RIM101	gene set picked by clustering raw S-scores
YOR275C	RIM20	RIM101	gene set picked by clustering raw S-scores
YNL294C	RIM21	RIM101	gene set picked by clustering raw S-scores
YDL142C	CRD1	mitochondrial	gene set picked by clustering raw S-scores
YOR311C	DGK1	mitochondrial	gene set picked by clustering raw S-scores
YOL049W	GSH2	mitochondrial	gene set picked by clustering raw S-scores
YCR071C	IMG2	mitochondrial	gene set picked by clustering raw S-scores
YKL205W	LOS1	mitochondrial	gene set picked by clustering raw S-scores
YOL027C	MDM38	mitochondrial	gene set picked by clustering raw S-scores
YOR330C	MIP1	mitochondrial	gene set picked by clustering raw S-scores
YOR158W	PET123	mitochondrial	gene set picked by clustering raw S-scores
YCR028C-A	RIM1	mitochondrial	gene set picked by clustering raw S-scores
YFL036W	RPO41	mitochondrial	gene set picked by clustering raw S-scores
YDR310C	SUM1	mitochondrial	gene set picked by clustering raw S-scores
YAL013W	DEP1	Rpd3L	gene set picked by clustering raw S-scores
YNL097C	PHO23	Rpd3L	gene set picked by clustering raw S-scores
YBR095C	RXT2	Rpd3L	gene set picked by clustering raw S-scores
YMR263W	SAP30	Rpd3L	gene set picked by clustering raw S-scores
YBR278W	DPB3	DNA Replication	gene set picked by clustering raw S-scores
YDR121W	DPB4	DNA Replication	gene set picked by clustering raw S-scores
YOL133W	HRT1	DNA Replication	gene set picked by clustering raw S-scores
YGR200C	ELP2	Elongator	gene set picked by clustering raw S-scores
YPL086C	ELP3	Elongator	gene set picked by clustering raw S-scores
YPL101W	ELP4	Elongator	gene set picked by clustering raw S-scores
YMR312W	ELP6	Elongator	gene set picked by clustering raw S-scores
YHR187W	IKI1	Elongator	gene set picked by clustering raw S-scores
YCL010C	SGF29	Elongator	gene set picked by clustering raw S-scores
YGL054C	ERV14	SIT4	gene set picked by clustering raw S-scores
YMR073C	IRC21	SIT4	gene set picked by clustering raw S-scores
YJL098W	SAP185	SIT4	gene set picked by clustering raw S-scores
YKR072C	SIS2	SIT4	gene set picked by clustering raw S-scores
YCL011C	GBP2	mRNA processing	gene set picked by clustering raw S-scores
YBR119W	MUD1	mRNA processing	gene set picked by clustering raw S-scores
YPR072W	NOT5	mRNA processing	gene set picked by clustering raw S-scores
YCR066W	RAD18	mRNA processing	gene set picked by clustering raw S-scores
YKL020C	SPT23	mRNA processing	gene set picked by clustering raw S-scores
YER077C	YER077C	mRNA processing	gene set picked by clustering raw S-scores
YAL048C	GEM1	ERMES	gene set picked by clustering raw S-scores
YOL009C	MDM12	ERMES	gene set picked by clustering raw S-scores
YGL219C	MDM34	ERMES	gene set picked by clustering raw S-scores
YMR205C	PFK2	ERMES	gene set picked by clustering raw S-scores
YLR113W	HOG1	HOG1	gene set picked by clustering raw S-scores
YJL128C	PBS2	HOG1	gene set picked by clustering raw S-scores
YML034W	SRC1	HOG1	gene set picked by clustering raw S-scores
YLR006C	SSK1	HOG1	gene set picked by clustering raw S-scores
