ORF	Gene	term
YAR002W	NUP60	nuclear pore central transport channel
YDL088C	ASM4	nuclear pore central transport channel
YDR192C	NUP42	nuclear pore central transport channel
YGL092W	NUP145	nuclear pore central transport channel
YGL172W	NUP49	nuclear pore central transport channel
YGL172W	NUP49	nuclear pore central transport channel
YGL172W	NUP49	nuclear pore central transport channel
YGR119C	NUP57	nuclear pore central transport channel
YGR119C	NUP57	nuclear pore central transport channel
YGR119C	NUP57	nuclear pore central transport channel
YIL115C	NUP159	nuclear pore central transport channel
YJL041W	NSP1	nuclear pore central transport channel
YJL041W	NSP1	nuclear pore central transport channel
YJL041W	NSP1	nuclear pore central transport channel
YKL068W	NUP100	nuclear pore central transport channel
YMR047C	NUP116	nuclear pore central transport channel
YMR153W	NUP53	nuclear pore central transport channel
YOR098C	NUP1	nuclear pore central transport channel
YLR131C	ACE2	mitotic exit
YBR158W	AMN1	mitotic exit
YJR053W	BFA1	mitotic exit
YER016W	BIM1	mitotic exit
YMR055C	BUB2	mitotic exit
YFR028C	CDC14	mitotic exit
YAR019C	CDC15	mitotic exit
YGL190C	CDC55	mitotic exit
YMR001C	CDC5	mitotic exit
YGL003C	CDH1	mitotic exit
YGR092W	DBF2	mitotic exit
YPR111W	DBF20	mitotic exit
YGR098C	ESP1	mitotic exit
YPL209C	IPL1	mitotic exit
YHR158C	KEL1	mitotic exit
YGR238C	KEL2	mitotic exit
YOR233W	KIN4	mitotic exit
YAL024C	LTE1	mitotic exit
YIL106W	MOB1	mitotic exit
YDL028C	MPS1	mitotic exit
YHR124W	NDT80	mitotic exit
YJL076W	NET1	mitotic exit
YDL042C	SIR2	mitotic exit
YNR009W	NRM1	mitotic exit
YOR373W	NUD1	mitotic exit
YDL089W	NUR1	mitotic exit
YDR113C	PDS1	mitotic exit
YHR152W	SPO12	mitotic exit
YDR260C	SWM1	mitotic exit
YDR260C	TEM1	mitotic exit
YMR273C	ZDS1	mitotic exit
YML109W	ZDS2	mitotic exit
YDR101C	ARX1	general nuclear export
YDR361C	BCP1	general nuclear export
YLR074C	BUD20	general nuclear export
YCR047C	BUD23	general nuclear export
YOR112W	CEX1	general nuclear export
YGL238W	CSE1	general nuclear export
YGR218W	CRM1	general nuclear export
YDL207W	GLE1	general nuclear export
YER107C	GLE2	general nuclear export
YKL205W	LOS1	general nuclear export
YDR060W	MAK21	general nuclear export
YLR368W	MDM30	general nuclear export
YGR264C	MES1	general nuclear export
YPL169C	MEX67	general nuclear export
YHR015W	MIP6	general nuclear export
YDR335W	MSN5	general nuclear export
YOR160W	MTR10	general nuclear export
YKL186C	MTR2	general nuclear export
YGL122C	NAB2	general nuclear export
YHR170W	NMD3	general nuclear export
YPR144C	NOC4	general nuclear export
YNR053C	NOG2	general nuclear export
YDL148C	NOP14	general nuclear export
YER006W	NUG1	general nuclear export
YKR002W	PAP1	general nuclear export
YPL212C	PUS1	general nuclear export
YLR106C	REA1	general nuclear export
YLL034C	RIX7	general nuclear export
YPL012W	RRP12	general nuclear export
YOR294W	RRS1	general nuclear export
YDR159W	SAC3	general nuclear export
YDL084W	SUB2	general nuclear export
YBR111W-A	SUS1	general nuclear export
YOL072W	THP1	general nuclear export
YHR167W	THP2	general nuclear export
YGR090W	UTP22	general nuclear export
YDR381W	YRA1	general nuclear export
YDR002W	YRB1	general nuclear export
YIL063C	YRB2	general nuclear export
YER087W	AIM10	tRNA synthesase
YOR335C	ALA1	tRNA synthesase
YGL105W	ARC1	tRNA synthesase
YPL160W	CDC60	tRNA synthesase
YHR019C	DED81	tRNA synthesase
YHR011W	DIA4	tRNA synthesase
YLL018C	DPS1	tRNA synthesase
YLR060W	FRS1	tRNA synthesase
YFL022C	FRS2	tRNA synthesase
YOR168W	GLN4	tRNA synthesase
YPR081C	GRS2	tRNA synthesase
YGL245W	GUS1	tRNA synthesase
YPR033C	HTS1	tRNA synthesase
YBL076C	ILS1	tRNA synthesase
YPL040C	ISM1	tRNA synthesase
YDR037W	KRS1	tRNA synthesase
YGR264C	MES1	tRNA synthesase
YDR023W	SES1	tRNA synthesase
YIL078W	THS1	tRNA synthesase
YGR185C	TYS1	tRNA synthesase
YGR094W	VAS1	tRNA synthesase
YOL097C	WRS1	tRNA synthesase
YDR341C	YDR341C	tRNA synthesase
YHR020W	YHR020W	tRNA synthesase
YNL247W	YNL247W	tRNA synthesase
YOR239W	ABP140	tRNA methyltransferase
YNL062C	GCD10	tRNA methyltransferase
YJL125C	GCD14	tRNA methyltransferase
YIL090W	ICE2	tRNA methyltransferase
YBL024W	NCL1	tRNA methyltransferase
YOL141W	PPM2	tRNA methyltransferase
YDR120C	TRM1	tRNA methyltransferase
YOL093W	TRM10	tRNA methyltransferase
YOL124C	TRM11	tRNA methyltransferase
YNR046W	TRM112	tRNA methyltransferase
YML005W	TRM12	tRNA methyltransferase
YOL125W	TRM13	tRNA methyltransferase
YKR056W	TRM2	tRNA methyltransferase
YDL112W	TRM3	tRNA methyltransferase
YPL030W	TRM44	tRNA methyltransferase
YHR070W	TRM5	tRNA methyltransferase
YBR061C	TRM7	tRNA methyltransferase
YMR259C	TRM732	tRNA methyltransferase
YDL201W	TRM8	tRNA methyltransferase
YDR165W	TRM82	tRNA methyltransferase
YML014W	TRM9	tRNA methyltransferase
YGL050W	TYW3	tRNA methyltransferase
YAL020C	ATS1	tRNA base modification
YGR262C	BUD32	tRNA base modification
YML036W	CGI121	tRNA base modification
YFL001W	DEG1	tRNA base modification
YGR200C	ELP2	tRNA base modification
YPL086C	ELP3	tRNA base modification
YPL101W	ELP4	tRNA base modification
YMR312W	ELP6	tRNA base modification
YJL184W	GON7	tRNA base modification
YHR187W	IKI1	tRNA base modification
YLR384C	IKI3	tRNA base modification
YKR038C	KAE1	tRNA base modification
YBL071W-A	KTI11	tRNA base modification
YKL110C	KTI12	tRNA base modification
YKR095W-A	PCC1	tRNA base modification
YGL169W	SUA5	tRNA base modification
YGL232W	TAN1	tRNA base modification
YHR003C	TCD1	tRNA base modification
YKL027W	TCD2	tRNA base modification
YBL026W	LSM2	tRNA splicing
YLR438C-A	LSM3	tRNA splicing
YER112W	LSM4	tRNA splicing
YER146W	LSM5	tRNA splicing
