library.ORF	score_min	score_max	score_range	library.gene_name
YLR018C	-19.21987	5.034962	24.254832	POM34
YDR395W	-17.416124	5.844139	23.260263000000002	SXM1
YHR167W	-17.108491	4.884737	21.993228000000002	THP2
YBL079W	-17.166264	4.184648	21.350912	NUP170
YDR363W-A	-17.440525	3.867448	21.307973	SEM1
YMR198W	-17.540908	3.713478	21.254386	CIK1
YMR153W	-18.089192	2.326595	20.415787	NUP53
YMR272C	-15.708441	4.69229	20.400731	SCS7
YML062C	-16.858205	3.45967	20.317875	MFT1
YPL018W	-17.076762	2.986532	20.063294	CTF19
YHR129C	-14.900133	4.585721	19.485854	ARP1
YML103C	-15.807062	3.616339	19.423401	NUP188
YDL088C	-17.559597	1.797677	19.357274	ASM4
YGR178C	-14.805729	4.234954	19.040683	PBP1
YPL017C	-18.152263	0.861925	19.014188	IRC15
YNR051C	-14.8421	3.917738	18.759838000000002	BRE5
YJL013C	-16.381167	2.169474	18.550641000000002	MAD3
YDR121W	-15.993228	1.878598	17.871826	DPB4
YJL136C	-14.958286	2.845551	17.803836999999998	RPS21B
YOR360C	-15.077282	2.576101	17.653383	PDE2
YJL030W	-15.638516	1.729138	17.367653999999998	MAD2
YKL074C	-12.922218	4.332743	17.254961	MUD2
YER111C	-15.167488	1.944292	17.11178	SWI4
YDR150W	-14.40028	2.692864	17.093144000000002	NUM1
YJL124C	-14.614494	2.280014	16.894508000000002	LSM1
YPR057W	-11.594759	5.277209	16.871968	BRR1
YDR318W	-14.994404	1.87133	16.865734	MCM21
YOL012C	-15.277879	1.585315	16.863194	HTZ1
YMR294W	-12.130706	4.582	16.712706	JNM1
YKL113C	-15.00147	1.70383	16.7053	RAD27
YCL029C	-14.564703	1.697968	16.262671	BIK1
YBR107C	-14.271201	1.990786	16.261986999999998	IML3
YLR039C	-9.846234	6.205555	16.051789	RIC1
YGL086W	-14.815569	1.158278	15.973847	MAD1
YLR085C	-10.487762	5.461536	15.949297999999999	ARP6
YBL058W	-12.109254	3.814298	15.923552	SHP1
YDR435C	-11.499243	4.401018	15.900261	PPM1
YDR254W	-14.105125	1.654603	15.759727999999999	CHL4
YJR070C	-14.219336	1.49764	15.716976	LIA1
YPL174C	-11.93239	3.564223	15.496613	NIP100
YMR129W	-13.78259	1.700912	15.483502000000001	POM152
YAL024C	-12.32243	3.074876	15.397306	LTE1
YOR043W	-12.510851	2.700616	15.211467	WHI2
YDR101C	-12.39247	2.804006	15.196476	ARX1
YKR082W	-10.753913	4.428492	15.182405000000001	NUP133
YDR378C	-9.860728	5.288434	15.149162	LSM6
YMR039C	-13.13237	1.96129	15.09366	SUB1
YAL011W	-13.107556	1.971134	15.07869	SWC3
YMR223W	-13.033937	1.803844	14.837781	UBP8
YLR150W	-9.702262	5.105462	14.807724	STM1
YIL040W	-12.229522	2.523991	14.753513	APQ12
YJL128C	-11.268174	3.462626	14.7308	PBS2
YER164W	-10.218271	4.488848	14.707118999999999	CHD1
YFR036W	-11.801316	2.854286	14.655602	CDC26
YPL037C	-10.755119	3.658783	14.413902	EGD1
YML016C	-10.224208	4.088855	14.313063	PPZ1
YKL068W	-12.899719	1.387394	14.287113	NUP100
YDR334W	-12.552771	1.671612	14.224383	SWR1
YPL152W	-10.218454	3.891577	14.110031	RRD2
YPL047W	-12.073661	2.01467	14.088331	SGF11
YCR033W	-10.469115	3.583856	14.052971	SNT1
YFL001W	-11.109534	2.941121	14.050654999999999	DEG1
YOR308C	-11.029366	3.01621	14.045576	SNU66
YGL014W	-10.637343	3.407347	14.04469	PUF4
YMR299C	-9.557591	4.405311	13.962902	DYN3
