cluster	Gene_uniq	Gene.gene_name
all_queries	1_YDL155W	CLB3
all_queries_30_6	1_YDL155W	CLB3
budding	1_YDL155W	CLB3
budding_GO_30_8	1_YDL155W	CLB3
cell cycle	1_YDL155W	CLB3
cell cycle_GO_30_10	1_YDL155W	CLB3
cytoskeleton and microtubules	1_YDL155W	CLB3
cytoskeleton and microtubules_GO_30_4	1_YDL155W	CLB3
cytoskeleton organization	1_YDL155W	CLB3
cytoskeleton organization_GO_30_3	1_YDL155W	CLB3
mitotic cell cycle	1_YDL155W	CLB3
mitotic cell cycle_GO_30_6	1_YDL155W	CLB3
organelle assembly	1_YDL155W	CLB3
organelle assembly_GO_30_1	1_YDL155W	CLB3
organelle fission	1_YDL155W	CLB3
organelle fission_GO_30_3	1_YDL155W	CLB3
regulation of cell cycle	1_YDL155W	CLB3
regulation of cell cycle_GO_30_2	1_YDL155W	CLB3
regulation of organelle organization	1_YDL155W	CLB3
regulation of organelle organization_GO_30_1	1_YDL155W	CLB3
regulation of protein modification process	1_YDL155W	CLB3
regulation of protein modification process_GO_30_1	1_YDL155W	CLB3
all_queries	1_YDR113C	PDS1
all_queries_30_39	1_YDR113C	PDS1
budding	1_YDR113C	PDS1
budding_GO_30_6	1_YDR113C	PDS1
cell cycle	1_YDR113C	PDS1
cell cycle_GO_30_2	1_YDR113C	PDS1
cellular response to DNA damage stimulus	1_YDR113C	PDS1
cellular response to DNA damage stimulus_GO_30_3	1_YDR113C	PDS1
chromatin	1_YDR113C	PDS1
chromatin_GO_30_6	1_YDR113C	PDS1
chromosome segregation	1_YDR113C	PDS1
cytoskeleton	1_YDR113C	PDS1
cytoskeleton and microtubules	1_YDR113C	PDS1
cytoskeleton and microtubules_GO_30_5	1_YDR113C	PDS1
cytoskeleton_GO_30_4	1_YDR113C	PDS1
DNA recombination	1_YDR113C	PDS1
DNA recombination_GO_30_2	1_YDR113C	PDS1
DNA repair	1_YDR113C	PDS1
DNA repair_GO_30_3	1_YDR113C	PDS1
meiotic cell cycle	1_YDR113C	PDS1
meiotic cell cycle_GO_30_2	1_YDR113C	PDS1
mitotic cell cycle	1_YDR113C	PDS1
mitotic cell cycle_GO_30_4	1_YDR113C	PDS1
organelle fission	1_YDR113C	PDS1
organelle fission_GO_30_5	1_YDR113C	PDS1
regulation of cell cycle	1_YDR113C	PDS1
regulation of cell cycle_GO_30_1	1_YDR113C	PDS1
regulation of organelle organization	1_YDR113C	PDS1
regulation of organelle organization_GO_30_1	1_YDR113C	PDS1
all_queries	1_YGR108W	CLB1
all_queries_30_81	1_YGR108W	CLB1
budding	1_YGR108W	CLB1
budding_GO_30_11	1_YGR108W	CLB1
cell cycle	1_YGR108W	CLB1
cell cycle_GO_30_5	1_YGR108W	CLB1
cytoskeleton and microtubules	1_YGR108W	CLB1
cytoskeleton and microtubules_GO_30_3	1_YGR108W	CLB1
cytoskeleton organization	1_YGR108W	CLB1
cytoskeleton organization_GO_30_1	1_YGR108W	CLB1
meiotic cell cycle	1_YGR108W	CLB1
meiotic cell cycle_GO_30_4	1_YGR108W	CLB1
mitotic cell cycle	1_YGR108W	CLB1
mitotic cell cycle_GO_30_3	1_YGR108W	CLB1
organelle fission	1_YGR108W	CLB1
organelle fission_GO_30_3	1_YGR108W	CLB1
regulation of cell cycle	1_YGR108W	CLB1
regulation of cell cycle_GO_30_2	1_YGR108W	CLB1
regulation of organelle organization	1_YGR108W	CLB1
regulation of organelle organization_GO_30_1	1_YGR108W	CLB1
regulation of protein modification process	1_YGR108W	CLB1
regulation of protein modification process_GO_30_2	1_YGR108W	CLB1
