ORF	cluster	gene_name
YAL020C	ribosome_GO_2	ATS1
YAL026C	ribosome_GO_2	DRS2
YBL024W	ribosome_GO_2	NCL1
YBL027W	ribosome_GO_2	RPL19B
YCL037C	ribosome_GO_2	SRO9
YDL006W	ribosome_GO_2	PTC1
YDL033C	ribosome_GO_2	SLM3
YDL134C	ribosome_GO_2	PPH21
YDL191W	ribosome_GO_2	RPL35A
YDR159W	ribosome_GO_2	SAC3
YDR293C	ribosome_GO_2	SSD1
YDR378C	ribosome_GO_2	LSM6
YDR477W	ribosome_GO_2	SNF1
YEL043W	ribosome_GO_2	YEL043W
YEL047C	ribosome_GO_2	FRD1
YFL023W	ribosome_GO_2	BUD27
YGL014W	ribosome_GO_2	PUF4
YGL211W	ribosome_GO_2	NCS6
YGL244W	ribosome_GO_2	RTF1
YGR178C	ribosome_GO_2	PBP1
YGR200C	ribosome_GO_2	ELP2
YHR021C	ribosome_GO_2	RPS27B
YHR111W	ribosome_GO_2	UBA4
YHR187W	ribosome_GO_2	IKI1
YHR189W	ribosome_GO_2	PTH1
YIL008W	ribosome_GO_2	URM1
YIR003W	ribosome_GO_2	AIM21
YJL098W	ribosome_GO_2	SAP185
YJL136C	ribosome_GO_2	RPS21B
YJR066W	ribosome_GO_2	TOR1
YJR145C	ribosome_GO_2	RPS4A
YKL009W	ribosome_GO_2	MRT4
YKL110C	ribosome_GO_2	KTI12
YKL139W	ribosome_GO_2	CTK1
YKL204W	ribosome_GO_2	EAP1
YKR024C	ribosome_GO_2	DBP7
YLR401C	ribosome_GO_2	DUS3
YML107C	ribosome_GO_2	PML39
YML112W	ribosome_GO_2	CTK3
YMR247C	ribosome_GO_2	RKR1
YMR282C	ribosome_GO_2	AEP2
YMR283C	ribosome_GO_2	RIT1
YMR285C	ribosome_GO_2	NGL2
YMR312W	ribosome_GO_2	ELP6
YNL001W	ribosome_GO_2	DOM34
YNL119W	ribosome_GO_2	NCS2
YNL147W	ribosome_GO_2	LSM7
YNL255C	ribosome_GO_2	GIS2
YNL299W	ribosome_GO_2	TRF5
YNR004W	ribosome_GO_2	SWM2
YOL045W	ribosome_GO_2	PSK2
YOL115W	ribosome_GO_2	PAP2
YOR308C	ribosome_GO_2	SNU66
YPL086C	ribosome_GO_2	ELP3
YPL101W	ribosome_GO_2	ELP4
YPL157W	ribosome_GO_2	TGS1
YPL226W	ribosome_GO_2	NEW1
YPR043W	ribosome_GO_2	RPL43A
YPR129W	ribosome_GO_2	SCD6
YBL072C	ribosome_GO_1	RPS8A
YBL087C	ribosome_GO_1	RPL23A
YBR022W	ribosome_GO_1	POA1
YBR031W	ribosome_GO_1	RPL4A
YBR181C	ribosome_GO_1	RPS6B
YCR031C	ribosome_GO_1	RPS14A
YDL061C	ribosome_GO_1	RPS29B
YDL082W	ribosome_GO_1	RPL13A
YDL083C	ribosome_GO_1	RPS16B
YDL130W	ribosome_GO_1	RPP1B
YDL136W	ribosome_GO_1	RPL35B
YDL175C	ribosome_GO_1	AIR2
YDL213C	ribosome_GO_1	NOP6
YDL224C	ribosome_GO_1	WHI4
YDR025W	ribosome_GO_1	RPS11A
YDR083W	ribosome_GO_1	RRP8
YDR101C	ribosome_GO_1	ARX1
YDR496C	ribosome_GO_1	PUF6
YER002W	ribosome_GO_1	NOP16
YFL001W	ribosome_GO_1	DEG1
YFR009W	ribosome_GO_1	GCN20
YFR031C-A	ribosome_GO_1	RPL2A
YGL029W	ribosome_GO_1	CGR1
YGL031C	ribosome_GO_1	RPL24A
YGL049C	ribosome_GO_1	TIF4632
YGL078C	ribosome_GO_1	DBP3
YGL105W	ribosome_GO_1	ARC1
YGL147C	ribosome_GO_1	RPL9A
YGL173C	ribosome_GO_1	XRN1
YGL195W	ribosome_GO_1	GCN1
YGR054W	ribosome_GO_1	YGR054W
YGR081C	ribosome_GO_1	SLX9
YGR085C	ribosome_GO_1	RPL11B
YGR214W	ribosome_GO_1	RPS0A
YHL025W	ribosome_GO_1	SNF6
YHL033C	ribosome_GO_1	RPL8A
YHR034C	ribosome_GO_1	PIH1
YHR066W	ribosome_GO_1	SSF1
YHR081W	ribosome_GO_1	LRP1
YHR203C	ribosome_GO_1	RPS4B
YIL052C	ribosome_GO_1	RPL34B
YIL133C	ribosome_GO_1	RPL16A
YJL138C	ribosome_GO_1	TIF2
YJL140W	ribosome_GO_1	RPB4
YJL177W	ribosome_GO_1	RPL17B
YKL081W	ribosome_GO_1	TEF4
YKR028W	ribosome_GO_1	SAP190
YKR059W	ribosome_GO_1	TIF1
YLL045C	ribosome_GO_1	RPL8B
YLR150W	ribosome_GO_1	STM1
YLR435W	ribosome_GO_1	TSR2
YML063W	ribosome_GO_1	RPS1B
YMR080C	ribosome_GO_1	NAM7
YMR116C	ribosome_GO_1	ASC1
YMR230W	ribosome_GO_1	RPS10B
YMR269W	ribosome_GO_1	TMA23
YNL224C	ribosome_GO_1	SQS1
YNL227C	ribosome_GO_1	JJJ1
YNL292W	ribosome_GO_1	PUS4
YOL027C	ribosome_GO_1	MDM38
