ORF	cluster	gene_name
YAL007C	ribosome_GO_2	ERP2
YBL061C	ribosome_GO_2	SKT5
YBR034C	ribosome_GO_2	HMT1
YBR078W	ribosome_GO_2	ECM33
YBR131W	ribosome_GO_2	CCZ1
YBR181C	ribosome_GO_2	RPS6B
YBR289W	ribosome_GO_2	SNF5
YCR036W	ribosome_GO_2	RBK1
YDL065C	ribosome_GO_2	PEX19
YDL191W	ribosome_GO_2	RPL35A
YDR146C	ribosome_GO_2	SWI5
YDR176W	ribosome_GO_2	NGG1
YDR217C	ribosome_GO_2	RAD9
YDR318W	ribosome_GO_2	MCM21
YDR469W	ribosome_GO_2	SDC1
YDR497C	ribosome_GO_2	ITR1
YER164W	ribosome_GO_2	CHD1
YGL066W	ribosome_GO_2	SGF73
YGL105W	ribosome_GO_2	ARC1
YGL151W	ribosome_GO_2	NUT1
YGL174W	ribosome_GO_2	BUD13
YGL212W	ribosome_GO_2	VAM7
YGR019W	ribosome_GO_2	UGA1
YGR097W	ribosome_GO_2	ASK10
YHL033C	ribosome_GO_2	RPL8A
YHR081W	ribosome_GO_2	LRP1
YIL047C	ribosome_GO_2	SYG1
YJL046W	ribosome_GO_2	AIM22
YJL062W	ribosome_GO_2	LAS21
YJL103C	ribosome_GO_2	GSM1
YJL187C	ribosome_GO_2	SWE1
YJR070C	ribosome_GO_2	LIA1
YJR125C	ribosome_GO_2	ENT3
YKR072C	ribosome_GO_2	SIS2
YLR085C	ribosome_GO_2	ARP6
YLR113W	ribosome_GO_2	HOG1
YLR182W	ribosome_GO_2	SWI6
YML072C	ribosome_GO_2	TCB3
YML103C	ribosome_GO_2	NUP188
YMR016C	ribosome_GO_2	SOK2
YMR026C	ribosome_GO_2	PEX12
YMR224C	ribosome_GO_2	MRE11
YMR269W	ribosome_GO_2	TMA23
YMR285C	ribosome_GO_2	NGL2
YNL032W	ribosome_GO_2	SIW14
YNL070W	ribosome_GO_2	TOM7
YNL082W	ribosome_GO_2	PMS1
YNL315C	ribosome_GO_2	ATP11
YOL065C	ribosome_GO_2	INP54
YOR025W	ribosome_GO_2	HST3
YOR067C	ribosome_GO_2	ALG8
YPL047W	ribosome_GO_2	SGF11
YPL057C	ribosome_GO_2	SUR1
YPL152W	ribosome_GO_2	RRD2
YPL157W	ribosome_GO_2	TGS1
YPL239W	ribosome_GO_2	YAR1
YPR052C	ribosome_GO_2	NHP6A
YPR070W	ribosome_GO_2	MED1
YAL002W	ribosome_GO_1	VPS8
YBL047C	ribosome_GO_1	EDE1
YCL010C	ribosome_GO_1	SGF29
YDL082W	ribosome_GO_1	RPL13A
YDR293C	ribosome_GO_1	SSD1
YDR378C	ribosome_GO_1	LSM6
YEL060C	ribosome_GO_1	PRB1
YER031C	ribosome_GO_1	YPT31
YGL163C	ribosome_GO_1	RAD54
YGR054W	ribosome_GO_1	YGR054W
YJR140C	ribosome_GO_1	HIR3
YKL113C	ribosome_GO_1	RAD27
YKL212W	ribosome_GO_1	SAC1
YLR110C	ribosome_GO_1	CCW12
YML097C	ribosome_GO_1	VPS9
YMR042W	ribosome_GO_1	ARG80
YNL054W	ribosome_GO_1	VAC7
YNL271C	ribosome_GO_1	BNI1
YOR006C	ribosome_GO_1	TSR3
YOR089C	ribosome_GO_1	VPS21
YOR195W	ribosome_GO_1	SLK19
YOR269W	ribosome_GO_1	PAC1
YPR069C	ribosome_GO_1	SPE3
YAL042W	transcription and mRNA processing_GO_5	ERV46
YAL051W	transcription and mRNA processing_GO_5	OAF1
YAR002W	transcription and mRNA processing_GO_5	NUP60
YAR003W	transcription and mRNA processing_GO_5	SWD1
YBL027W	transcription and mRNA processing_GO_5	RPL19B
YBL082C	transcription and mRNA processing_GO_5	ALG3
YBR034C	transcription and mRNA processing_GO_5	HMT1
YCR036W	transcription and mRNA processing_GO_5	RBK1
YCR044C	transcription and mRNA processing_GO_5	PER1
YCR053W	transcription and mRNA processing_GO_5	THR4
YDL048C	transcription and mRNA processing_GO_5	STP4
YDL115C	transcription and mRNA processing_GO_5	IWR1
YDR245W	transcription and mRNA processing_GO_5	MNN10
YDR255C	transcription and mRNA processing_GO_5	RMD5
YEL013W	transcription and mRNA processing_GO_5	VAC8
YEL037C	transcription and mRNA processing_GO_5	RAD23
YER061C	transcription and mRNA processing_GO_5	CEM1
YER123W	transcription and mRNA processing_GO_5	YCK3
YFL023W	transcription and mRNA processing_GO_5	BUD27
YFL036W	transcription and mRNA processing_GO_5	RPO41
YFR019W	transcription and mRNA processing_GO_5	FAB1
YGL078C	transcription and mRNA processing_GO_5	DBP3
YGL133W	transcription and mRNA processing_GO_5	ITC1
YGL213C	transcription and mRNA processing_GO_5	SKI8
YGL216W	transcription and mRNA processing_GO_5	KIP3
YGL253W	transcription and mRNA processing_GO_5	HXK2
YGR078C	transcription and mRNA processing_GO_5	PAC10
YGR174C	transcription and mRNA processing_GO_5	CBP4
YGR227W	transcription and mRNA processing_GO_5	DIE2
YGR229C	transcription and mRNA processing_GO_5	SMI1
YHL027W	transcription and mRNA processing_GO_5	RIM101
YHL033C	transcription and mRNA processing_GO_5	RPL8A
YHR004C	transcription and mRNA processing_GO_5	NEM1
YHR025W	transcription and mRNA processing_GO_5	THR1
YHR077C	transcription and mRNA processing_GO_5	NMD2
YHR167W	transcription and mRNA processing_GO_5	THP2
YIL047C	transcription and mRNA processing_GO_5	SYG1
YIL090W	transcription and mRNA processing_GO_5	ICE2
YIR023W	transcription and mRNA processing_GO_5	DAL81
YJL029C	transcription and mRNA processing_GO_5	VPS53
YJL092W	transcription and mRNA processing_GO_5	SRS2
YJL124C	transcription and mRNA processing_GO_5	LSM1
YKR100C	transcription and mRNA processing_GO_5	SKG1
YLR044C	transcription and mRNA processing_GO_5	PDC1
YLR079W	transcription and mRNA processing_GO_5	SIC1
YLR114C	transcription and mRNA processing_GO_5	AVL9
YML051W	transcription and mRNA processing_GO_5	GAL80
YML121W	transcription and mRNA processing_GO_5	GTR1
YMR039C	transcription and mRNA processing_GO_5	SUB1
YMR070W	transcription and mRNA processing_GO_5	MOT3
YMR080C	transcription and mRNA processing_GO_5	NAM7
YMR263W	transcription and mRNA processing_GO_5	SAP30
YMR264W	transcription and mRNA processing_GO_5	CUE1
YMR272C	transcription and mRNA processing_GO_5	SCS7
YMR304W	transcription and mRNA processing_GO_5	UBP15
YNL001W	transcription and mRNA processing_GO_5	DOM34
YNL016W	transcription and mRNA processing_GO_5	PUB1
YNL071W	transcription and mRNA processing_GO_5	LAT1
YNL076W	transcription and mRNA processing_GO_5	MKS1
YNL227C	transcription and mRNA processing_GO_5	JJJ1
YNL229C	transcription and mRNA processing_GO_5	URE2
YNL246W	transcription and mRNA processing_GO_5	VPS75
